,parcode,trial,fix_item,fix_time
0,1,0,0,232.0
1,1,0,1,1008.0
2,1,0,2,956.0
3,1,0,1,1030.0
4,1,0,2,642.0
5,1,0,1,393.7349999999997
6,1,1,0,511.0
7,1,1,1,706.0
8,1,1,2,640.0
9,1,1,1,790.0
10,1,1,2,912.2579999999997
11,1,2,0,434.0
12,1,2,1,1030.0
13,1,2,2,764.0
14,1,2,1,384.0
15,1,2,0,440.0
16,1,2,2,702.4640000000003
17,1,3,0,226.0
18,1,3,1,1072.0
19,1,3,2,796.0
20,1,3,1,337.7510000000002
21,1,4,0,3.0
22,1,4,1,1232.0
23,1,4,2,654.0
24,1,4,1,310.3420000000001
25,1,5,0,198.0
26,1,5,1,1028.0
27,1,5,2,1122.0
28,1,5,1,921.922
29,1,6,0,235.0
30,1,6,1,766.0
31,1,6,0,198.0
32,1,6,2,792.0
33,1,6,1,1062.0
34,1,6,2,784.0
35,1,6,1,1548.0
36,1,6,2,876.0
37,1,6,1,345.6980000000003
38,1,7,0,189.0
39,1,7,1,1386.0
40,1,7,0,244.0
41,1,7,2,962.0
42,1,7,1,542.0
43,1,7,2,319.14599999999973
44,1,8,0,487.0
45,1,8,1,1062.0
46,1,8,2,952.0
47,1,8,1,786.0
48,1,8,2,974.0
49,1,8,1,398.0
50,1,8,2,554.4799999999996
51,1,9,0,239.0
52,1,9,1,802.0
53,1,9,2,858.0
54,1,9,1,802.0
55,1,9,2,1016.0
56,1,9,1,698.0
57,1,9,2,1096.3339999999996
58,1,10,0,227.0
59,1,10,1,732.0
60,1,10,2,644.0
61,1,10,1,404.9570000000003
62,1,11,0,56.0
63,1,11,1,962.0
64,1,11,2,726.0
65,1,11,1,1008.0
66,1,11,2,372.5209999999997
67,1,12,0,215.0
68,1,12,1,640.0
69,1,12,2,696.0
70,1,12,1,427.07599999999996
71,1,13,3,119.0
72,1,13,1,764.0
73,1,13,2,586.0
74,1,13,1,638.0
75,1,13,2,401.54799999999983
76,1,14,0,243.0
77,1,14,1,596.0
78,1,14,2,724.0
79,1,14,1,778.0
80,1,14,2,786.0
81,1,14,1,384.0
82,1,14,2,396.2459999999997
83,1,15,0,4.0
84,1,15,1,1182.0
85,1,15,2,1050.0
86,1,15,1,832.0
87,1,15,2,414.06199999999984
88,1,16,0,177.0
89,1,16,1,594.0
90,1,16,2,610.0
91,1,16,1,442.3770000000002
92,1,17,0,205.0
93,1,17,1,2038.0
94,1,17,2,736.0
95,1,17,1,760.0
96,1,17,2,608.0
97,1,17,1,764.9440000000003
98,1,18,0,49.0
99,1,18,1,860.0
100,1,18,2,750.0
101,1,18,1,2154.0
102,1,18,2,736.0
103,1,18,1,371.47400000000016
104,1,19,0,189.0
105,1,19,1,596.0
106,1,19,2,642.0
107,1,19,1,442.935
108,1,20,0,149.0
109,1,20,1,574.0
110,1,20,2,566.0
111,1,20,1,416.81100000000015
112,1,21,0,285.0
113,1,21,1,902.0
114,1,21,2,738.0
115,1,21,1,1158.54
116,1,22,0,234.0
117,1,22,1,982.0
118,1,22,2,800.0
119,1,22,1,458.714
120,1,23,0,46.0
121,1,23,1,836.0
122,1,23,2,878.0
123,1,23,1,512.3490000000002
124,1,24,0,214.0
125,1,24,1,814.0
126,1,24,2,754.0
127,1,24,1,940.0
128,1,24,2,800.0
129,1,24,1,268.48
130,1,25,0,264.0
131,1,25,1,712.0
132,1,25,2,640.0
133,1,25,1,430.06199999999984
134,1,26,0,148.0
135,1,26,1,896.0
136,1,26,2,844.0
137,1,26,1,826.0
138,1,26,2,1108.2509999999997
139,1,27,0,182.0
140,1,27,1,786.0
141,1,27,2,638.0
142,1,27,1,892.0
143,1,27,2,464.0
144,1,27,1,385.54
145,1,28,0,197.0
146,1,28,1,1068.0
147,1,28,2,987.245
148,1,29,0,3.0
149,1,29,1,1122.0
150,1,29,2,958.424
