,parcode,trial,rt,choice,item_left,item_right
0,1,0,1734.284,1,6,7
1,1,1,6555.37,-1,0,0
2,1,2,3174.566,-1,0,0
3,1,3,2877.579,1,2,0
4,1,4,1806.31,1,0,0
5,1,5,3636.816,-1,5,6
6,1,6,3650.266,1,3,3
7,1,7,3078.223,-1,6,5
8,1,8,1259.268,1,0,0
9,1,9,3440.738,-1,6,5
10,1,10,5698.026999999999,1,0,0
11,1,11,8224.466999999999,1,3,4
12,1,12,2626.168,1,0,2
13,1,13,1991.413,-1,0,0
14,1,14,1671.149,1,6,7
15,1,15,2607.607,-1,5,3
16,1,16,1527.826,1,2,3
17,1,17,5043.16,-1,4,3
18,1,18,2267.665,1,5,6
19,1,19,4499.543,-1,2,0
20,1,20,5571.061,-1,0,0
21,1,21,2045.641,1,6,7
22,1,22,1402.112,1,3,3
23,1,23,2736.625,1,3,5
24,1,24,2065.604,1,0,0
25,1,25,3058.203,1,0,2
26,1,26,1613.454,1,0,0
27,1,27,1931.482,1,6,5
28,1,28,4895.517,-1,7,6
29,1,29,3197.86,1,7,6
30,1,30,2000.688,1,7,6
31,1,31,1921.251,1,6,7
32,1,32,2050.4970000000008,1,6,7
33,1,33,2219.756,1,0,0
34,1,34,1635.473,1,3,3
35,1,35,5608.432,-1,7,6
36,1,36,4443.018,-1,3,2
37,1,37,2620.927,1,3,3
38,1,38,1725.9029999999998,1,7,6
39,1,39,3225.23,1,5,6
40,1,40,1686.53,-1,7,6
41,1,41,2010.532,1,0,2
42,1,42,2244.929,-1,2,0
43,1,43,2092.94,-1,3,2
44,1,44,1361.319,1,5,6
45,1,45,1596.589,1,2,0
46,1,46,2850.121,-1,5,3
47,1,47,1380.8970000000006,1,3,3
48,1,48,1391.672,1,6,7
49,1,49,2101.903,-1,2,0
50,1,50,1582.34,1,6,7
51,1,51,2320.312,-1,2,0
52,1,52,2184.782,-1,2,0
53,1,53,2602.684,-1,7,6
54,1,54,2890.742,1,3,3
55,1,55,1954.547,1,4,3
56,1,56,1901.984,1,2,3
57,1,57,3133.506,1,0,2
58,1,58,2545.418,1,5,6
59,1,59,2023.468,-1,6,4
60,1,60,3330.755,1,3,3
61,1,61,1866.57,-1,0,0
62,1,62,1604.858,1,5,6
63,1,63,2458.127,1,3,5
64,1,64,4970.636,-1,6,5
65,1,65,3115.157,-1,5,3
66,1,66,3128.098,-1,6,5
67,1,67,3745.136,-1,3,2
68,1,68,3673.352,1,0,2
69,1,69,4942.765,1,5,6
70,1,70,2224.593,-1,0,2
71,1,71,2997.098,1,6,5
72,1,72,1391.7379999999994,1,4,6
73,1,73,3340.985,-1,6,5
74,1,74,1648.785,1,3,5
75,1,75,1990.089,-1,3,4
76,1,76,2490.532,1,0,2
77,1,77,2508.0170000000007,-1,3,3
78,1,78,2293.524,1,0,0
79,1,79,3004.818,1,2,3
80,1,80,3496.366,1,0,2
81,1,81,2849.513,1,0,0
82,1,82,1540.3929999999998,1,3,5
83,1,83,2342.863,-1,7,6
84,1,84,2502.521,1,5,6
85,1,85,1799.6270000000006,-1,5,3
86,1,86,5352.23,1,3,3
87,1,87,2424.21,-1,5,3
88,1,88,1269.404,1,3,5
89,1,89,2779.2740000000013,-1,5,3
90,1,90,2537.132,-1,3,2
91,1,91,2351.272,1,3,5
92,1,92,2358.716,-1,4,3
93,1,93,2684.724,-1,0,0
94,1,94,1983.477,1,5,6
95,1,95,4650.79,1,3,4
96,1,96,3835.065,-1,2,0
97,1,97,3849.206,1,0,0
98,1,98,3243.343,-1,6,5
99,1,99,1644.5839999999994,1,3,3
100,1,100,1274.981,1,0,0
101,1,101,2589.055,1,0,0
102,1,102,2300.565,-1,2,0
103,1,103,2922.026,-1,7,6
104,1,104,1135.847,1,0,0
105,1,105,1991.672,1,0,2
106,1,106,1851.808,-1,4,3
107,1,107,1321.034,1,0,0
108,1,108,4003.124,1,0,0
109,1,109,1954.281,-1,3,4
110,1,110,2030.128,1,0,2
111,1,111,1964.125,-1,2,0
112,1,112,2014.069,-1,7,6
113,1,113,1598.829,1,2,3
114,1,114,1453.6029999999994,1,3,2
115,1,115,1977.727,1,2,3
116,1,116,1623.8970000000006,1,6,7
117,1,117,2901.364,1,6,7
118,1,118,1565.164,1,6,7
