,parcode,trial,fix_item,fix_time
0,1,0,0,171.0
1,1,0,1,868.0
2,1,0,0,266.0
3,1,0,2,429.2839999999998
4,1,1,0,235.0
5,1,1,1,314.0
6,1,1,2,680.0
7,1,1,1,696.0
8,1,1,2,770.0
9,1,1,1,1490.0
10,1,1,0,288.0
11,1,1,1,2082.37
12,1,2,0,161.0
13,1,2,1,696.0
14,1,2,2,632.0
15,1,2,1,704.0
16,1,2,2,726.0
17,1,2,1,255.5659999999998
18,1,3,0,136.0
19,1,3,1,832.0
20,1,3,2,620.0
21,1,3,1,836.0
22,1,3,2,453.5790000000002
23,1,4,0,150.0
24,1,4,1,866.0
25,1,4,2,790.31
26,1,5,0,67.0
27,1,5,1,574.0
28,1,5,0,376.0
29,1,5,2,638.0
30,1,5,1,778.0
31,1,5,2,768.0
32,1,5,1,435.81599999999986
33,1,6,0,61.0
34,1,6,1,2448.0
35,1,6,2,1141.2659999999996
36,1,7,0,240.0
37,1,7,1,604.0
38,1,7,2,682.0
39,1,7,1,512.0
40,1,7,2,552.0
41,1,7,1,488.223
42,1,8,0,216.0
43,1,8,1,530.0
44,1,8,2,513.268
45,1,9,0,248.0
46,1,9,1,746.0
47,1,9,2,730.0
48,1,9,1,684.0
49,1,9,2,680.0
50,1,9,1,352.73799999999983
51,1,10,0,1867.0
52,1,10,1,1508.0
53,1,10,2,690.0
54,1,10,1,722.0
55,1,10,2,911.0269999999992
56,1,11,0,274.0
57,1,11,1,1166.0
58,1,11,2,742.0
59,1,11,1,848.0
60,1,11,2,876.0
61,1,11,1,2122.0
62,1,11,2,1012.0
63,1,11,1,862.0
64,1,11,2,322.46699999999873
65,1,12,0,147.0
66,1,12,1,958.0
67,1,12,2,698.0
68,1,12,1,694.0
69,1,12,2,129.1679999999997
70,1,13,3,8.0
71,1,13,1,796.0
72,1,13,2,596.0
73,1,13,1,591.4129999999997
74,1,14,0,187.0
75,1,14,1,754.0
76,1,14,2,730.1489999999999
77,1,15,3,39.0
78,1,15,1,1094.0
79,1,15,2,652.0
80,1,15,1,822.607
81,1,16,0,172.0
82,1,16,1,642.0
83,1,16,2,713.826
84,1,17,0,172.0
85,1,17,1,806.0
86,1,17,2,574.0
87,1,17,1,520.0
88,1,17,2,958.0
89,1,17,1,906.0
90,1,17,2,862.0
91,1,17,1,245.15999999999985
92,1,18,0,283.0
93,1,18,1,1098.0
94,1,18,2,886.665
95,1,19,0,249.0
96,1,19,1,1152.0
97,1,19,2,736.0
98,1,19,1,1102.0
99,1,19,2,866.0
100,1,19,1,394.5429999999997
101,1,20,0,664.0
102,1,20,1,1066.0
103,1,20,2,976.0
104,1,20,1,774.0
105,1,20,2,1108.0
106,1,20,1,983.0609999999997
107,1,21,0,132.0
108,1,21,1,1260.0
109,1,21,2,653.6410000000002
110,1,22,0,176.0
111,1,22,1,534.0
112,1,22,2,692.1120000000002
113,1,23,0,67.0
114,1,23,1,1034.0
115,1,23,2,662.0
116,1,23,1,476.0
117,1,23,2,497.625
118,1,24,0,8.0
119,1,24,1,936.0
120,1,24,0,286.0
121,1,24,2,835.6039999999997
122,1,25,0,192.0
123,1,25,1,994.0
124,1,25,2,582.0
125,1,25,1,598.0
126,1,25,2,692.203
127,1,26,0,195.0
128,1,26,1,688.0
129,1,26,2,730.454
130,1,27,3,48.0
131,1,27,1,1036.0
132,1,27,2,847.4820000000003
133,1,28,0,55.0
134,1,28,1,2124.0
135,1,28,2,662.0
136,1,28,1,766.0
137,1,28,2,798.0
138,1,28,1,490.5169999999998
139,1,29,0,183.0
140,1,29,1,1176.0
141,1,29,2,734.0
142,1,29,1,484.0
143,1,29,0,142.0
144,1,29,2,478.8600000000001
145,1,30,0,260.0
146,1,30,1,890.0
147,1,30,2,850.6880000000001
148,1,31,0,228.0
149,1,31,1,1012.0
150,1,31,2,681.2510000000001
151,1,32,3,52.0
152,1,32,1,1044.0
153,1,32,2,954.4970000000003
154,1,33,0,226.0
155,1,33,1,584.0
156,1,33,2,1409.756
157,1,34,0,192.0
158,1,34,1,710.0
159,1,34,0,84.0
160,1,34,2,649.4730000000001
161,1,35,0,42.0
162,1,35,1,902.0
163,1,35,2,898.0
164,1,35,1,376.0
165,1,35,2,736.0
166,1,35,1,878.0
167,1,35,2,1036.0
168,1,35,1,740.4319999999997
169,1,36,0,193.0
170,1,36,1,938.0
171,1,36,2,996.0
172,1,36,1,888.0
173,1,36,2,844.0
174,1,36,1,584.018
175,1,37,0,200.0
176,1,37,1,640.0
177,1,37,2,740.0
178,1,37,1,630.0
179,1,37,2,410.9270000000001
180,1,38,0,187.0
181,1,38,1,860.0
182,1,38,2,678.9029999999998
183,1,39,0,30.0
184,1,39,1,994.0
185,1,39,2,782.0
186,1,39,1,856.0
187,1,39,2,563.23
188,1,40,0,51.0
189,1,40,1,590.0
190,1,40,2,560.0
191,1,40,1,485.53
192,1,41,3,2.0
193,1,41,1,488.0
194,1,41,2,616.0
195,1,41,1,570.0
196,1,41,2,334.5320000000001
197,1,42,0,15.0
198,1,42,1,736.0
199,1,42,2,664.0
200,1,42,1,829.9290000000002
202,1,43,1,676.0
203,1,43,2,728.0
204,1,43,1,690.94
205,1,44,0,19.0
206,1,44,1,648.0
207,1,44,2,694.319
208,1,45,0,72.0
209,1,45,1,694.0
210,1,45,2,830.5889999999998
211,1,46,0,240.0
212,1,46,1,1072.0
213,1,46,2,786.0
214,1,46,1,752.1209999999996
215,1,47,0,133.0
216,1,47,1,608.0
217,1,47,2,639.8970000000003
218,1,48,0,44.0
219,1,48,1,610.0
220,1,48,2,737.672
221,1,49,0,84.0
222,1,49,1,596.0
223,1,49,2,704.0
224,1,49,1,717.9029999999997
226,1,50,1,887.0
227,1,50,2,698.3399999999998
228,1,51,0,170.0
229,1,51,1,802.0
230,1,51,2,602.0
231,1,51,1,746.3119999999999
232,1,52,3,13.0
233,1,52,1,650.0
234,1,52,2,908.0
235,1,52,1,613.7820000000003
236,1,53,0,1.0
237,1,53,1,816.0
238,1,53,2,1000.0
239,1,53,1,785.6839999999997
240,1,54,0,161.0
241,1,54,1,720.0
242,1,54,2,910.0
243,1,54,1,728.0
244,1,54,2,371.74200000000013
245,1,55,0,135.0
246,1,55,1,1110.0
247,1,55,2,709.547
248,1,56,3,5.0
249,1,56,1,794.0
250,1,56,2,1102.984
251,1,57,3,39.0
252,1,57,1,1122.0
253,1,57,2,726.0
254,1,57,1,706.0
255,1,57,2,540.5059999999999
256,1,58,0,70.0
257,1,58,1,602.0
258,1,58,2,708.0
259,1,58,1,824.0
260,1,58,2,341.4179999999997
262,1,59,1,882.0
263,1,59,2,644.0
264,1,59,1,499.4679999999999
265,1,60,0,15.0
266,1,60,1,1036.0
267,1,60,2,1418.0
268,1,60,1,634.0
269,1,60,2,227.75500000000008
270,1,61,0,7.0
271,1,61,1,584.0
272,1,61,2,712.0
273,1,61,1,563.5699999999998
275,1,62,1,833.0
276,1,62,2,774.8580000000001
277,1,63,0,50.0
278,1,63,1,964.0
279,1,63,2,646.0
280,1,63,1,470.0
281,1,63,2,328.1269999999999
282,1,64,0,206.0
283,1,64,1,814.0
284,1,64,2,848.0
285,1,64,1,1572.0
286,1,64,2,974.0
287,1,64,1,556.6359999999995
288,1,65,0,39.0
289,1,65,1,1612.0
290,1,65,2,708.0
291,1,65,1,756.1570000000003
292,1,66,3,19.0
293,1,66,1,1510.0
294,1,66,2,890.0
295,1,66,1,709.0980000000001
296,1,67,3,17.0
297,1,67,1,2198.0
298,1,67,2,918.0
299,1,67,1,612.136
300,1,68,3,9.0
301,1,68,1,1434.0
302,1,68,2,696.0
303,1,68,1,774.0
304,1,68,2,760.3520000000003
305,1,69,3,20.0
306,1,69,1,2540.0
307,1,69,0,280.0
308,1,69,2,640.0
309,1,69,1,800.0
310,1,69,2,662.7650000000002
312,1,70,1,809.0
313,1,70,2,682.0
314,1,70,1,735.5929999999997
315,1,71,3,45.0
316,1,71,1,1234.0
317,1,71,2,1144.0
318,1,71,1,574.0980000000001
320,1,72,1,714.0
321,1,72,2,680.7379999999997
322,1,73,0,238.0
323,1,73,1,1242.0
324,1,73,2,912.0
325,1,73,1,948.985
327,1,74,1,1010.0
328,1,74,2,641.7850000000002
330,1,75,1,688.0
331,1,75,2,648.0
332,1,75,1,657.0889999999998
334,1,76,1,698.0
335,1,76,2,650.0
336,1,76,1,560.0
337,1,76,2,584.5320000000003
338,1,77,0,131.0
339,1,77,1,1110.0
340,1,77,2,784.0
341,1,77,1,483.0170000000003
342,1,78,3,46.0
343,1,78,1,590.0
344,1,78,2,748.0
345,1,78,1,642.0
346,1,78,2,267.52399999999994
347,1,79,0,44.0
348,1,79,1,976.0
349,1,79,2,622.0
350,1,79,1,1100.0
351,1,79,2,262.81799999999976
352,1,80,3,6.0
353,1,80,1,534.0
354,1,80,2,608.0
355,1,80,1,602.0
356,1,80,2,1188.0
357,1,80,0,708.3660000000001
358,1,81,1,830.0
359,1,81,2,632.0
360,1,81,1,666.0
361,1,81,2,571.5129999999998
362,1,82,3,22.0
363,1,82,1,556.0
364,1,82,2,962.3929999999997
365,1,83,0,2.0
366,1,83,1,948.0
367,1,83,2,730.0
368,1,83,1,662.8629999999997
370,1,84,1,609.0
371,1,84,2,642.0
372,1,84,1,648.0
373,1,84,2,605.5210000000002
375,1,85,1,562.0
376,1,85,2,638.0
377,1,85,1,602.6270000000002
378,1,86,0,331.0
379,1,86,1,1628.0
380,1,86,0,272.0
381,1,86,1,1052.0
382,1,86,2,718.0
383,1,86,1,692.0
384,1,86,2,659.2299999999996
385,1,87,0,4.0
386,1,87,1,1290.0
387,1,87,2,508.0
388,1,87,1,622.21
389,1,88,0,27.0
390,1,88,1,696.0
391,1,88,2,546.404
392,1,89,3,48.0
393,1,89,1,538.0
394,1,89,2,828.0
395,1,89,1,740.0
396,1,89,2,625.2740000000002
397,1,90,3,254.0
398,1,90,1,1110.0
399,1,90,2,614.0
400,1,90,1,559.1320000000002
402,1,91,1,653.0
403,1,91,2,598.0
404,1,91,1,534.0
405,1,91,2,569.2719999999998
406,1,92,3,38.0
407,1,92,1,752.0
408,1,92,2,932.0
409,1,92,1,636.7159999999999
411,1,93,1,532.0
412,1,93,2,540.0
413,1,93,1,642.0
414,1,93,2,738.0
415,1,93,1,235.72400000000016
416,1,94,0,57.0
417,1,94,1,570.0
418,1,94,2,882.0
419,1,94,1,474.4769999999999
420,1,95,0,277.0
421,1,95,1,954.0
422,1,95,2,704.0
423,1,95,1,1510.0
424,1,95,2,1205.79
425,1,96,0,187.0
426,1,96,1,1124.0
427,1,96,2,570.0
428,1,96,1,968.0
429,1,96,2,726.0
430,1,96,1,260.06500000000005
431,1,97,0,59.0
432,1,97,1,854.0
433,1,97,2,684.0
434,1,97,1,1782.0
435,1,97,2,470.2059999999997
436,1,98,0,1.0
437,1,98,1,1906.0
438,1,98,2,788.0
439,1,98,1,548.3429999999998
440,1,99,3,3.0
441,1,99,1,996.0
442,1,99,2,645.5839999999997
443,1,100,0,61.0
444,1,100,1,526.0
445,1,100,2,687.9810000000001
447,1,101,1,534.0
448,1,101,2,702.0
449,1,101,1,614.0
450,1,101,2,741.0549999999997
451,1,102,3,46.0
452,1,102,1,584.0
453,1,102,2,784.0
454,1,102,1,886.565
455,1,103,0,185.0
456,1,103,1,1370.0
457,1,103,2,638.0
458,1,103,1,729.0259999999997
459,1,104,0,32.0
460,1,104,1,466.0
461,1,104,2,637.847
463,1,105,1,541.0
464,1,105,2,552.0
465,1,105,1,494.0
466,1,105,2,406.67199999999997
467,1,106,3,39.0
468,1,106,1,602.0
469,1,106,2,582.0
470,1,106,1,628.808
471,1,107,0,42.0
472,1,107,1,684.0
473,1,107,2,595.0339999999999
475,1,108,1,768.0
476,1,108,2,658.0
477,1,108,1,1170.0
478,1,108,2,798.0
479,1,108,1,612.1240000000003
481,1,109,1,804.0
482,1,109,2,640.0
483,1,109,1,513.281
484,1,110,3,15.0
485,1,110,1,556.0
486,1,110,2,578.0
487,1,110,1,474.0
488,1,110,2,407.1279999999997
489,1,111,3,46.0
490,1,111,1,830.0
491,1,111,2,526.0
492,1,111,1,562.125
493,1,112,0,19.0
494,1,112,1,664.0
495,1,112,2,588.0
496,1,112,1,743.069
497,1,113,3,42.0
498,1,113,1,766.0
499,1,113,2,790.829
500,1,114,0,75.0
501,1,114,1,602.0
502,1,114,2,776.6029999999997
504,1,115,1,777.0
505,1,115,2,562.0
506,1,115,1,641.7269999999999
507,1,116,0,168.0
508,1,116,1,642.0
509,1,116,2,813.8970000000003
510,1,117,3,10.0
511,1,117,1,982.0
512,1,117,2,574.0
513,1,117,1,908.0
514,1,117,2,427.364
516,1,118,1,789.0
517,1,118,2,779.164
518,1,119,3,5.0
519,1,119,1,760.0
520,1,119,2,794.8839999999999
521,2,0,0,324.0
522,2,0,1,2830.0
523,2,0,0,240.0
524,2,0,2,994.0
525,2,0,0,432.0
526,2,0,2,600.0
527,2,0,0,316.0
528,2,0,2,492.5469999999996
529,2,1,0,224.0
530,2,1,1,2554.0
531,2,1,0,258.0
532,2,1,1,730.0
533,2,1,2,2869.7509999999997
534,2,2,0,210.0
535,2,2,1,3622.0
536,2,2,2,934.7440000000006
537,2,3,3,28.0
538,2,3,1,2846.0
539,2,3,0,270.0
540,2,3,1,2858.0
541,2,3,2,3118.0
542,2,3,1,812.0
543,2,3,0,326.0
544,2,3,1,687.4019999999999
545,2,4,0,260.0
546,2,4,1,524.0
547,2,4,0,176.0
548,2,4,1,3824.0
549,2,4,2,889.2650000000003
550,2,5,0,218.0
551,2,5,1,734.0
552,2,5,0,512.0
553,2,5,1,900.0
554,2,5,0,446.0
555,2,5,1,1818.0
556,2,5,0,118.0
557,2,5,2,1780.0
558,2,5,0,768.0
559,2,5,2,312.0
560,2,5,0,1042.0
561,2,5,2,2898.0
562,2,5,0,342.0
563,2,5,2,346.0
564,2,5,0,356.0
565,2,5,2,1482.0
566,2,5,0,298.0
567,2,5,2,2556.0
568,2,5,0,426.0
569,2,5,2,1562.0
570,2,5,0,384.0
571,2,5,2,280.0
572,2,5,0,364.0
573,2,5,2,962.0
574,2,5,0,744.0
575,2,5,2,480.0
576,2,5,0,1022.0
577,2,5,2,1312.0
578,2,5,0,830.0
579,2,5,2,1158.0
580,2,5,0,310.0
581,2,5,2,452.0
582,2,5,0,534.0
583,2,5,2,192.0
584,2,5,0,256.0
585,2,5,2,328.0
586,2,5,0,378.0
587,2,5,2,1298.0
588,2,5,0,610.0
589,2,5,2,434.0
590,2,5,0,894.0
591,2,5,2,880.0
592,2,5,0,1358.0
593,2,5,2,264.0
594,2,5,0,1766.0
595,2,5,2,306.0
596,2,5,0,3568.0
597,2,5,2,4102.0
598,2,5,0,222.0
599,2,5,2,2055.359000000004
600,2,6,0,196.0
601,2,6,1,1332.0
602,2,6,0,426.0
603,2,6,1,2170.0
604,2,6,0,578.0
605,2,6,1,940.0
606,2,6,2,900.0
607,2,6,0,370.0
608,2,6,2,838.6909999999997
609,2,7,0,225.0
610,2,7,1,3006.0
611,2,7,0,674.0
612,2,7,1,1094.0
613,2,7,0,366.0
614,2,7,1,602.0
615,2,7,2,3809.843000000001
616,2,8,0,440.0
617,2,8,1,1022.0
618,2,8,0,286.0
619,2,8,1,1292.0
620,2,8,2,390.0
621,2,8,0,800.0
622,2,8,2,316.0
623,2,8,0,332.0
624,2,8,2,2014.0
625,2,8,0,384.0
626,2,8,2,482.2349999999997
627,2,9,0,315.0
628,2,9,1,10810.0
629,2,9,0,298.0
630,2,9,1,6868.0
631,2,9,0,320.0
632,2,9,1,2274.0
633,2,9,0,314.0
634,2,9,1,2610.0
635,2,9,0,386.0
636,2,9,1,282.0
637,2,9,0,830.0
638,2,9,1,5502.0
639,2,9,0,554.0
640,2,9,1,844.0
641,2,9,0,1536.0
642,2,9,1,4370.0
643,2,9,0,746.0
644,2,9,1,330.0
645,2,9,0,1668.0
646,2,9,2,1476.0
647,2,9,0,82.0
648,2,9,2,1760.0
649,2,9,0,953.3369999999996
650,2,10,1,1196.0
651,2,10,0,382.0
652,2,10,1,398.0
653,2,10,0,392.0
654,2,10,1,3282.0
655,2,10,2,586.0
656,2,10,0,968.0
657,2,10,2,2542.0
658,2,10,0,326.0
659,2,10,2,132.45499999999993
660,2,11,0,397.0
661,2,11,1,1268.0
662,2,11,0,454.0
663,2,11,1,1686.0
664,2,11,2,880.0
665,2,11,0,352.0
666,2,11,2,268.0
667,2,11,0,282.0
668,2,11,2,349.28099999999995
669,2,12,0,186.0
670,2,12,1,2508.0
671,2,12,2,1652.0
672,2,12,0,766.0
673,2,12,2,1920.0
674,2,12,0,346.0
675,2,12,2,1026.0
676,2,12,0,2564.0
677,2,12,2,2164.0
678,2,12,0,494.0
679,2,12,2,1062.0
680,2,12,0,448.0
681,2,12,2,2324.0
682,2,12,0,638.0
683,2,12,2,1064.0
684,2,12,0,220.0
685,2,12,2,226.0
686,2,12,0,242.0
687,2,12,2,852.0
688,2,12,0,452.0
689,2,12,2,964.0479999999988
690,2,13,0,200.0
691,2,13,1,2968.0
692,2,13,0,352.0
693,2,13,1,1404.0
694,2,13,2,1622.0
695,2,13,0,374.0
696,2,13,2,947.5719999999992
697,2,14,0,482.0
698,2,14,1,1224.0
699,2,14,0,576.0
700,2,14,1,154.0
701,2,14,0,928.0
702,2,14,1,1384.0
703,2,14,0,304.0
704,2,14,1,1898.0
705,2,14,0,322.0
706,2,14,1,7114.0
707,2,14,0,588.0
708,2,14,1,882.0
709,2,14,0,480.0
710,2,14,1,904.0
711,2,14,0,412.0
712,2,14,1,720.0
713,2,14,0,1218.0
714,2,14,2,1176.0
715,2,14,0,412.0
716,2,14,2,1706.0
717,2,14,0,402.0
718,2,14,2,264.0
719,2,14,0,312.0
720,2,14,2,474.3790000000008
721,2,15,0,276.0
722,2,15,1,1574.0
723,2,15,0,516.0
724,2,15,1,216.0
725,2,15,0,708.0
726,2,15,1,2530.0
727,2,15,0,310.0
728,2,15,1,1378.0
729,2,15,0,882.0
730,2,15,1,2558.0
731,2,15,2,1620.1800000000005
732,2,16,0,229.0
733,2,16,1,2866.0
734,2,16,2,1792.0
735,2,16,0,452.0
736,2,16,2,600.0
737,2,16,0,394.0
738,2,16,2,314.0
739,2,16,0,272.0
740,2,16,2,297.42099999999937
741,2,17,0,438.0
742,2,17,1,1338.0
743,2,17,0,1352.0
744,2,17,1,384.0
745,2,17,0,358.0
746,2,17,1,1734.0
747,2,17,0,82.0
748,2,17,2,1626.0
749,2,17,0,384.0
750,2,17,2,448.0
751,2,17,0,1348.0
752,2,17,2,1608.0
753,2,17,0,1624.0
754,2,17,2,2208.0
755,2,17,0,368.0
756,2,17,2,2550.0
757,2,17,0,1220.0
758,2,17,2,404.0
759,2,17,0,646.0
760,2,17,2,1350.0
761,2,17,0,214.0
762,2,17,2,1006.0
763,2,17,0,830.0
764,2,17,2,930.946
765,2,18,0,240.0
766,2,18,1,1230.0
767,2,18,0,578.0
768,2,18,1,2752.0
769,2,18,0,540.0
770,2,18,1,432.0
771,2,18,0,298.0
772,2,18,1,668.0
773,2,18,0,178.0
774,2,18,1,2116.0
775,2,18,0,452.0
776,2,18,1,468.0
777,2,18,0,322.0
778,2,18,1,3998.0
779,2,18,0,440.0
780,2,18,1,836.0
781,2,18,0,776.0
782,2,18,1,1484.0
783,2,18,0,826.0
784,2,18,2,2018.5200000000007
785,2,19,0,178.0
786,2,19,1,1082.0
787,2,19,0,620.0
788,2,19,1,2352.0
