parcode,trial,rt,choice,item_left,item_right
0,0,2610,1,0,0
0,1,4340,-1,0,0
0,2,990,1,0,0
0,3,8480,-1,0,0
0,4,2800,1,0,0
0,5,3020,-1,0,0
0,6,4670,1,0,0
0,7,1510,-1,0,0
0,8,2560,1,0,0
0,9,2760,1,0,0
0,10,3850,-1,0,0
0,11,3650,-1,0,0
0,12,490,1,0,0
0,13,3180,1,0,0
0,14,12770,1,0,0
0,15,2940,1,0,0
0,16,2740,-1,0,0
0,17,3310,1,0,0
0,18,2430,-1,0,0
0,19,8520,-1,0,0
0,20,2380,1,0,0
0,21,2250,-1,0,0
0,22,13800,1,0,0
0,23,3530,1,0,0
0,24,2750,-1,0,0
0,25,3640,1,0,0
0,26,3660,1,0,0
0,27,3220,1,0,0
0,28,960,1,0,0
0,29,2970,-1,0,0
0,30,2030,1,0,0
0,31,2270,1,0,0
0,32,1090,-1,0,0
0,33,4520,1,0,0
0,34,5840,1,0,0
0,35,3220,1,0,0
0,36,2190,1,0,0
0,37,3590,1,0,0
0,38,3730,-1,0,0
0,39,5440,1,0,0
0,40,1700,-1,0,0
0,41,1730,-1,0,0
0,42,4840,1,0,0
0,43,940,1,0,0
0,44,1620,-1,0,0
0,45,4300,-1,0,0
0,46,3120,1,0,0
0,47,5870,-1,0,0
0,48,1200,-1,0,0
0,49,3820,1,0,0
0,50,830,1,0,0
0,51,13180,1,0,0
0,52,17320,-1,0,0
0,53,7380,-1,0,0
0,54,18440,-1,0,0
0,55,12800,1,0,0
0,56,9750,1,0,0
0,57,810,1,0,0
0,58,680,1,0,0
0,59,2260,1,0,0
0,60,7980,1,0,0
0,61,1720,-1,0,0
0,62,4660,1,0,0
0,63,2970,-1,0,0
0,64,3760,1,0,0
0,65,5800,1,0,0
0,66,2330,-1,0,0
0,67,5660,-1,0,0
0,68,3850,-1,0,0
0,69,5100,-1,0,0
0,70,1640,-1,0,0
0,71,3640,1,0,0
0,72,4160,1,0,0
0,73,5690,-1,0,0
0,74,1920,1,0,0
0,75,5220,-1,0,0
0,76,2480,-1,0,0
0,77,4960,1,0,0
0,78,1940,1,0,0
0,79,790,-1,0,0
0,80,13540,1,0,0
0,81,4140,1,0,0
0,82,3640,1,0,0
0,83,4030,1,0,0
0,84,1080,-1,0,0
0,85,500,1,0,0
0,86,10410,1,0,0
0,87,1200,1,0,0
0,88,2990,-1,0,0
0,89,3170,1,0,0
0,90,7040,1,0,0
0,91,4550,-1,0,0
0,92,1860,-1,0,0
0,93,6090,1,0,0
0,94,2190,1,0,0
0,95,15710,-1,0,0
0,96,3490,-1,0,0
0,97,610,-1,0,0
0,98,2540,1,0,0
0,99,9410,-1,0,0
0,100,2950,1,0,0
0,101,1270,1,0,0
0,102,6410,1,0,0
0,103,4170,-1,0,0
0,104,1100,1,0,0
0,105,1250,-1,0,0
0,106,7820,1,0,0
