parcode,trial,rt,choice,item_left,item_right
0,0,3330,1,6,7
0,1,730,-1,6,7
0,2,3150,1,6,7
0,3,2870,-1,6,7
0,4,10980,-1,6,7
0,5,8350,1,6,7
0,6,2190,-1,6,7
0,7,680,-1,6,7
0,8,980,-1,6,7
0,9,2510,1,6,7
0,10,1870,1,6,7
0,11,2640,1,6,7
0,12,6240,1,6,7
0,13,1790,-1,6,7
0,14,1390,1,6,7
0,15,3990,-1,6,7
0,16,3620,-1,6,7
0,17,5270,1,6,7
0,18,6050,1,6,7
0,19,3910,-1,6,7
0,20,2040,-1,6,7
0,21,3570,-1,6,7
0,22,4430,-1,6,7
0,23,1760,-1,6,7
0,24,1690,1,6,7
0,25,3160,-1,6,7
0,26,790,-1,6,7
0,27,4820,1,6,7
0,28,6410,1,6,7
0,29,6350,1,6,7
0,30,410,1,6,7
0,31,3280,1,6,7
0,32,5090,-1,6,7
0,33,2780,-1,6,7
0,34,800,-1,6,7
0,35,4070,-1,6,7
0,36,1010,-1,6,7
0,37,690,-1,6,7
0,38,2150,-1,6,7
0,39,3720,1,6,7
0,40,7130,1,6,7
0,41,1940,-1,6,7
0,42,1150,1,6,7
0,43,1270,-1,6,7
0,44,8570,-1,6,7
0,45,2740,1,6,7
0,46,450,-1,6,7
0,47,630,-1,6,7
0,48,7750,1,6,7
0,49,940,-1,6,7
0,50,1970,1,6,7
0,51,1740,1,6,7
0,52,2090,1,6,7
0,53,6140,-1,6,7
0,54,620,-1,6,7
0,55,1680,1,6,7
0,56,2250,1,6,7
0,57,710,-1,6,7
0,58,3330,-1,6,7
0,59,2980,-1,6,7
0,60,1220,-1,6,7
0,61,900,1,6,7
0,62,1850,1,6,7
0,63,800,-1,6,7
0,64,1250,-1,6,7
0,65,5800,1,6,7
0,66,2630,-1,6,7
0,67,3230,1,6,7
0,68,1610,1,6,7
0,69,590,-1,6,7
0,70,450,-1,6,7
0,71,1730,-1,6,7
0,72,970,-1,6,7
0,73,400,-1,6,7
0,74,1790,1,6,7
0,75,2330,1,6,7
0,76,2750,1,6,7
0,77,6200,-1,6,7
0,78,1900,-1,6,7
0,79,1290,1,6,7
0,80,2670,1,6,7
0,81,630,-1,6,7
0,82,3320,1,6,7
0,83,5220,1,6,7
0,84,2690,-1,6,7
0,85,2350,-1,6,7
0,86,4840,1,6,7
0,87,960,1,6,7
0,88,450,-1,6,7
0,89,4990,-1,6,7
0,90,4650,-1,6,7
0,91,1900,-1,6,7
0,92,1830,1,6,7
0,93,5340,1,6,7
0,94,1290,1,6,7
0,95,3770,-1,6,7
0,96,1600,1,6,7
0,97,1150,-1,6,7
0,98,270,-1,6,7
0,99,2350,-1,6,7
0,100,6520,-1,6,7
0,101,4860,-1,6,7
0,102,2460,-1,6,7
0,103,4400,-1,6,7
0,104,2940,-1,6,7
0,105,890,-1,6,7
0,106,3290,1,6,7
0,107,10990,-1,6,7
0,108,5600,-1,6,7
0,109,4130,-1,6,7
0,110,1960,1,6,7
0,111,2300,-1,6,7
0,112,1940,-1,6,7
0,113,3540,-1,6,7
0,114,1620,1,6,7
0,115,1790,-1,6,7
0,116,1970,1,6,7
0,117,750,-1,6,7
0,118,2380,-1,6,7
0,119,4440,-1,6,7
0,120,590,-1,6,7
0,121,5630,1,6,7
0,122,5560,1,6,7
0,123,4950,-1,6,7
0,124,4480,-1,6,7
0,125,2440,1,6,7
0,126,1560,-1,6,7
0,127,4310,1,6,7
0,128,2860,-1,6,7
0,129,5370,-1,6,7
0,130,4390,1,6,7
0,131,860,-1,6,7
0,132,1220,1,6,7
0,133,7140,-1,6,7
0,134,11160,1,6,7
0,135,2780,-1,6,7
0,136,2270,-1,6,7
0,137,6020,-1,6,7
0,138,3300,-1,6,7
0,139,1860,1,6,7
0,140,2950,1,6,7
0,141,6050,1,6,7
0,142,4620,1,6,7
0,143,2280,-1,6,7
0,144,1200,1,6,7
0,145,2540,1,6,7
0,146,2380,1,6,7
0,147,2580,1,6,7
0,148,3220,-1,6,7
0,149,3800,-1,6,7
0,150,6350,1,6,7
0,151,960,-1,6,7
0,152,3420,-1,6,7
0,153,510,-1,6,7
0,154,1590,1,6,7
0,155,1840,1,6,7
0,156,6520,1,6,7
0,157,2030,1,6,7
0,158,2340,1,6,7
0,159,2410,-1,6,7
0,160,3200,1,6,7
0,161,510,-1,6,7
0,162,950,1,6,7
0,163,1170,1,6,7
0,164,1980,1,6,7
0,165,6500,-1,6,7
0,166,2750,1,6,7
0,167,6860,-1,6,7
0,168,750,-1,6,7
0,169,7670,-1,6,7
0,170,3820,1,6,7
0,171,7520,-1,6,7
0,172,4240,-1,6,7
0,173,7510,-1,6,7
0,174,1150,1,6,7
0,175,2700,-1,6,7
0,176,2920,1,6,7
0,177,5060,1,6,7
0,178,5250,1,6,7
0,179,5950,-1,6,7
0,180,1860,1,6,7
0,181,5970,1,6,7
0,182,1340,-1,6,7
0,183,2190,-1,6,7
