,subject,trial,rt,choice,gaze_0,gaze_1,react_time,item_value_0,item_value_1
0,1,0,4261.735,0,0.603447869,0.396552131,4261.735,1,0
1,1,1,3559.258,1,0.490772107,0.509227893,3559.258,7,7
2,1,2,3754.464,1,0.490893134,0.509106866,3754.464,7,7
3,1,3,2431.751,0,0.639125178,0.360874822,2431.751,5,7
4,1,4,2199.342,0,0.702232166,0.297767834,2199.342,7,7
5,1,5,3269.922,0,0.634756351,0.365243649,3269.922,2,1
6,1,6,6606.698,0,0.602831237,0.397168763,6606.698,4,4
7,1,7,3642.146,1,0.600782887,0.399217113,3642.146,1,2
8,1,8,5213.48,1,0.475195071,0.524804929,5213.48,7,7
9,1,9,5511.334,1,0.436618773,0.563381227,5511.334,1,2
10,1,10,2007.957,0,0.63839666,0.36160334,2007.957,7,7
11,1,11,3124.521,1,0.642003102,0.357996898,3124.521,4,3
12,1,12,1978.076,0,0.605235395,0.394764605,1978.076,7,5
13,1,13,2508.548,1,0.58672184,0.41327816,2508.548,7,7
14,1,14,3907.246,1,0.479771282,0.520228718,3907.246,1,0
15,1,15,3482.062,1,0.579058108,0.420941892,3482.062,2,4
16,1,16,1823.377,0,0.629489479,0.370510521,1823.377,5,4
17,1,17,5111.944,0,0.726102438,0.273897562,5111.944,3,4
18,1,18,4920.474,0,0.694958856,0.305041144,4920.474,2,1
19,1,19,1869.935,0,0.618069705,0.381930295,1869.935,5,7
20,1,20,1705.811,0,0.636436279,0.363563721,1705.811,7,7
21,1,21,3083.54,0,0.736291066,0.263708934,3083.54,1,0
22,1,22,2474.714,0,0.642970946,0.357029054,2474.714,4,4
23,1,23,2272.349,0,0.60563236,0.39436764,2272.349,4,2
24,1,24,3790.48,0,0.565494564,0.434505436,3790.48,7,7
25,1,25,2046.062,0,0.640865469,0.359134531,2046.062,7,5
26,1,26,3822.251,1,0.468666947,0.531333053,3822.251,7,7
27,1,27,3347.54,0,0.651876141,0.348123859,3347.54,1,2
28,1,28,2252.245,1,0.519646076,0.480353924,2252.245,0,1
29,1,29,2083.424,1,0.53931314,0.46068686,2083.424,0,1
30,1,30,4155.502,1,0.670522859,0.329477141,4155.502,0,1
31,1,31,2550.939,0,0.653803191,0.346196809,2550.939,1,0
32,1,32,5814.551,0,0.763474355,0.236525645,5814.551,1,0
33,1,33,1428.288,0,0.390158258,0.609841742,1428.288,7,7
34,1,34,1743.991,0,0.657066043,0.342933957,1743.991,4,4
35,1,35,2329.644,1,0.541787918,0.458212082,2329.644,0,1
36,1,36,3381.75,1,0.627425297,0.372574703,3381.75,4,5
37,1,37,2209.993,0,0.689048462,0.310951538,2209.993,4,4
38,1,38,3602.313,1,0.470956745,0.529043255,3602.313,0,1
39,1,39,2506.099,0,0.647531272,0.352468728,2506.099,2,1
40,1,40,7964.301,1,0.539804309,0.460195691,7964.301,0,1
41,1,41,1743.824,0,0.646648461,0.353351539,1743.824,7,5
42,1,42,2122.334,0,0.699431195,0.300568805,2122.334,5,7
43,1,43,2518.011,1,0.683489496,0.316510504,2518.011,4,5
44,1,44,2201.475,0,0.585813405,0.414186595,2201.475,2,1
45,1,45,2131.478,0,0.607476999,0.392523001,2131.478,5,7
46,1,46,2017.429,0,0.671605014,0.328394986,2017.429,2,4
47,1,47,3241.381,1,0.428198028,0.571801972,3241.381,4,4
48,1,48,2528.386,0,0.717070028,0.282929972,2528.386,1,0
49,1,49,1679.873,1,0.44448091,0.55551909,1679.873,5,7
50,1,50,1513.221,0,0.638325807,0.361674193,1513.221,1,0
51,1,51,3359.407,1,0.408188624,0.591811376,3359.407,5,7
52,1,52,3815.203,0,0.563236639,0.436763361,3815.203,5,7
53,1,53,4747.633,0,0.445187668,0.554812332,4749.633,0,1
54,1,54,3013.624,0,0.474340505,0.525659495,3013.624,4,4
55,1,55,3695.847,0,0.563461998,0.436538002,3695.847,3,4
56,1,56,1818.684,0,0.665297155,0.334702845,1818.684,5,4
57,1,57,3040.837,0,0.766454402,0.233545598,3040.837,7,5
58,1,58,3156.807,0,0.7645607,0.2354393,3156.807,2,1
59,1,59,5926.643,1,0.681963923,0.318036077,5926.643,1,3
60,1,60,4156.099,1,0.391483115,0.608516885,4161.099,4,4
61,1,61,2333.893,1,0.591994941,0.408005059,2333.893,7,7
62,1,62,2362.993,0,0.442865386,0.557134614,2362.993,2,1
63,1,63,1705.088,0,0.537687094,0.462312906,1705.088,4,2
64,1,64,1720.385,1,0.623986389,0.376013611,1720.385,1,2
65,1,65,1728.218,0,0.559611447,0.440388553,1728.218,2,4
66,1,66,2498.348,1,0.531112746,0.468887254,2498.348,1,2
67,1,67,3240.459,1,0.421807308,0.578192692,3240.459,4,5
68,1,68,2765.97,1,0.529577073,0.470422927,2765.97,7,5
69,1,69,2998.353,1,0.575114463,0.424885537,2998.353,2,1
70,1,70,2079.715,0,0.603845413,0.396154587,2080.715,7,5
71,1,71,1666.103,1,0.631864377,0.368135623,1666.103,1,2
72,1,72,2426.928,0,0.761014748,0.238985252,2426.928,3,1
73,1,73,3263.299,1,0.636184395,0.363815605,3263.299,1,2
74,1,74,1723.836,0,0.464184573,0.535815427,1723.836,4,2
75,1,75,1368.643,0,0.430215525,0.569784475,1368.643,4,3
76,1,76,1990.443,0,0.632548638,0.367451362,1990.443,7,5
77,1,77,2997.126,0,0.557739887,0.442260113,2997.126,4,4
78,1,78,1573.53,0,0.484268502,0.515731498,1573.53,7,7
79,1,79,2306.153,0,0.639441081,0.360558919,2306.153,5,4
80,1,80,2773.406,0,0.544018069,0.455981931,2773.406,7,5
81,1,81,2122.486,1,0.354588748,0.645411252,2122.486,7,7
82,1,82,1541.291,0,0.658727651,0.341272349,1541.291,4,2
83,1,83,1792.184,0,0.614821849,0.385178151,1792.184,0,1
84,1,84,1719.123,0,0.666690474,0.333309526,1722.123,2,1
