,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time
0,1,0,4261.735,0,70,91,0.603447869,0.396552131,4261.735
1,1,1,3559.258,1,7,10,0.490772107,0.509227893,3559.258
2,1,2,3754.464,1,10,4,0.490893134,0.509106866,3754.464
3,1,3,2431.751,0,17,10,0.639125178,0.360874822,2431.751
4,1,4,2199.342,0,2,10,0.702232166,0.297767834,2199.342
5,1,5,3269.922,0,68,70,0.634756351,0.365243649,3269.922
6,1,6,6606.698,0,38,40,0.602831237,0.397168763,6606.698
7,1,7,3642.146,1,70,52,0.600782887,0.399217113,3642.146
8,1,8,5213.48,1,10,8,0.475195071,0.524804929,5213.48
9,1,9,5511.334,1,70,61,0.436618773,0.563381227,5511.334
10,1,10,2007.957,0,6,10,0.63839666,0.36160334,2007.957
11,1,11,3124.521,1,40,43,0.642003102,0.357996898,3124.521
12,1,12,1978.076,0,10,16,0.605235395,0.394764605,1978.076
13,1,13,2508.548,1,10,7,0.58672184,0.41327816,2508.548
14,1,14,3907.246,1,70,84,0.479771282,0.520228718,3907.246
15,1,15,3482.062,1,51,40,0.579058108,0.420941892,3482.062
16,1,16,1823.377,0,24,40,0.629489479,0.370510521,1823.377
17,1,17,5111.944,0,43,40,0.726102438,0.273897562,5111.944
18,1,18,4920.474,0,61,70,0.694958856,0.305041144,4920.474
19,1,19,1869.935,0,16,10,0.618069705,0.381930295,1869.935
20,1,20,1705.811,0,10,2,0.636436279,0.363563721,1705.811
21,1,21,3083.54,0,70,77,0.736291066,0.263708934,3083.54
22,1,22,2474.714,0,37,40,0.642970946,0.357029054,2474.714
23,1,23,2272.349,0,40,51,0.60563236,0.39436764,2272.349
24,1,24,3790.48,0,4,10,0.565494564,0.434505436,3790.48
25,1,25,2046.062,0,10,17,0.640865469,0.359134531,2046.062
26,1,26,3822.251,1,10,6,0.468666947,0.531333053,3822.251
27,1,27,3347.54,0,70,68,0.651876141,0.348123859,3347.54
28,1,28,2252.245,1,93,70,0.519646076,0.480353924,2252.245
29,1,29,2083.424,1,91,70,0.53931314,0.46068686,2083.424
30,1,30,4155.502,1,86,70,0.670522859,0.329477141,4155.502
31,1,31,2550.939,0,70,93,0.653803191,0.346196809,2550.939
32,1,32,5814.551,0,70,86,0.763474355,0.236525645,5814.551
33,1,33,1428.288,0,8,10,0.390158258,0.609841742,1428.288
34,1,34,1743.991,0,40,37,0.657066043,0.342933957,1743.991
35,1,35,2329.644,1,77,70,0.541787918,0.458212082,2329.644
36,1,36,3381.75,1,40,24,0.627425297,0.372574703,3381.75
37,1,37,2209.993,0,40,38,0.689048462,0.310951538,2209.993
38,1,38,3602.313,1,84,70,0.470956745,0.529043255,3602.313
39,1,39,2506.099,0,52,70,0.647531272,0.352468728,2506.099
40,1,40,7964.301,1,88,70,0.539804309,0.460195691,7964.301
41,1,41,1743.824,0,10,18,0.646648461,0.353351539,1743.824
42,1,42,2122.334,0,14,10,0.699431195,0.300568805,2122.334
43,1,43,2518.011,1,40,29,0.683489496,0.316510504,2518.011
44,1,44,2201.475,0,65,70,0.585813405,0.414186595,2201.475
45,1,45,2131.478,0,15,10,0.607476999,0.392523001,2131.478
46,1,46,2017.429,0,56,40,0.671605014,0.328394986,2017.429
47,1,47,3241.381,1,40,35,0.428198028,0.571801972,3241.381
48,1,48,2528.386,0,70,88,0.717070028,0.282929972,2528.386
49,1,49,1679.873,1,19,10,0.44448091,0.55551909,1679.873
50,1,50,1513.221,0,70,79,0.638325807,0.361674193,1513.221
51,1,51,3359.407,1,12,10,0.408188624,0.591811376,3359.407
52,1,52,3815.203,0,18,10,0.563236639,0.436763361,3815.203
53,1,53,4747.633,0,79,70,0.445187668,0.554812332,4749.633
54,1,54,3013.624,0,34,40,0.474340505,0.525659495,3013.624
55,1,55,3695.847,0,46,40,0.563461998,0.436538002,3695.847
56,1,56,1818.684,0,26,40,0.665297155,0.334702845,1818.684
57,1,57,3040.837,0,10,19,0.766454402,0.233545598,3040.837
58,1,58,3156.807,0,54,70,0.7645607,0.2354393,3156.807
59,1,59,5926.643,1,70,47,0.681963923,0.318036077,5926.643
60,1,60,4156.099,1,35,40,0.391483115,0.608516885,4161.099
61,1,61,2333.893,1,10,5,0.591994941,0.408005059,2333.893
62,1,62,2362.993,0,49,70,0.442865386,0.557134614,2362.993
63,1,63,1705.088,0,40,54,0.537687094,0.462312906,1705.088
64,1,64,1720.385,1,70,58,0.623986389,0.376013611,1720.385
65,1,65,1728.218,0,54,40,0.559611447,0.440388553,1728.218
66,1,66,2498.348,1,70,54,0.531112746,0.468887254,2498.348
67,1,67,3240.459,1,40,26,0.421807308,0.578192692,3240.459
68,1,68,2765.97,1,10,14,0.529577073,0.470422927,2765.97
69,1,69,2998.353,1,58,70,0.575114463,0.424885537,2998.353
70,1,70,2079.715,0,10,12,0.603845413,0.396154587,2080.715
71,1,71,1666.103,1,70,49,0.631864377,0.368135623,1666.103
72,1,72,2426.928,0,47,70,0.761014748,0.238985252,2426.928
73,1,73,3263.299,1,70,65,0.636184395,0.363815605,3263.299
74,1,74,1723.836,0,40,56,0.464184573,0.535815427,1723.836
75,1,75,1368.643,0,40,46,0.430215525,0.569784475,1368.643
76,1,76,1990.443,0,10,15,0.632548638,0.367451362,1990.443
77,1,77,2997.126,0,40,34,0.557739887,0.442260113,2997.126
78,1,78,1573.53,0,5,10,0.484268502,0.515731498,1573.53
79,1,79,2306.153,0,29,40,0.639441081,0.360558919,2306.153
80,1,80,2773.406,0,10,13,0.544018069,0.455981931,2773.406
81,1,81,2122.486,1,10,0,0.354588748,0.645411252,2122.486
82,1,82,1541.291,0,40,48,0.658727651,0.341272349,1541.291
83,1,83,1792.184,0,75,70,0.614821849,0.385178151,1792.184
