,subject,trial,rt,choice,gaze_0,gaze_1,RT,item_value_0,item_value_1
0,1,0,1734.284,1,0.669090192,0.330909808,1734.284,6,7
1,1,1,6555.37,0,0.759630129,0.240369871,6555.37,0,0
2,1,2,3174.566,0,0.549371077,0.450628923,3174.566,0,0
3,1,3,2877.579,1,0.608408512,0.391591488,2877.579,2,0
4,1,4,1806.31,1,0.522848984,0.477151016,1806.31,0,0
5,1,5,3636.816,0,0.559774264,0.440225736,3636.816,5,6
6,1,6,3650.266,1,0.682033597,0.317966403,3650.266,3,3
7,1,7,3078.223,0,0.565220915,0.434779085,3078.223,6,5
8,1,8,1259.268,1,0.508019033,0.491980967,1259.268,0,0
9,1,9,3440.738,0,0.558372782,0.441627218,3440.738,6,5
10,1,10,5698.027,1,0.582089346,0.417910654,5698.027,0,0
11,1,11,8224.467,1,0.628642317,0.371357683,8224.467,3,4
12,1,12,2626.168,1,0.666352583,0.333647417,2626.168,0,2
13,1,13,1991.413,0,0.699507869,0.300492131,1991.413,0,0
14,1,14,1671.149,1,0.508035244,0.491964756,1671.149,6,7
15,1,15,2607.607,0,0.746165918,0.253834082,2607.607,5,3
16,1,16,1527.826,1,0.473512088,0.526487912,1527.826,2,3
17,1,17,5043.16,0,0.508535954,0.491464046,5043.16,4,3
18,1,18,2267.665,1,0.553241983,0.446758017,2267.665,5,6
19,1,19,4499.543,0,0.623106977,0.376893023,4499.543,2,0
20,1,20,5571.061,0,0.57530587,0.42469413,5571.061,0,0
21,1,21,2045.641,1,0.658430709,0.341569291,2045.641,6,7
22,1,22,1402.112,1,0.435523019,0.564476981,1402.112,3,3
23,1,23,2736.625,1,0.565622513,0.434377487,2736.625,3,5
24,1,24,2065.604,1,0.528334775,0.471665225,2065.604,0,0
25,1,25,3058.203,1,0.555438676,0.444561324,3058.203,0,2
26,1,26,1613.454,1,0.485035116,0.514964884,1613.454,0,0
27,1,27,1931.482,1,0.550045076,0.449954924,1931.482,6,5
28,1,28,4895.517,0,0.698379326,0.301620674,4895.517,7,6
29,1,29,3197.86,1,0.577821404,0.422178596,3197.86,7,6
30,1,30,2000.688,1,0.511292087,0.488707913,2000.688,7,6
31,1,31,1921.251,1,0.597666855,0.402333145,1921.251,6,7
32,1,32,2050.497,1,0.522392578,0.477607422,2050.497,6,7
33,1,33,2219.756,1,0.292914479,0.707085521,2219.756,0,0
34,1,34,1635.473,1,0.5222612,0.4777388,1635.473,3,3
35,1,35,5608.432,0,0.520339061,0.479660939,5608.432,7,6
36,1,36,4443.018,0,0.567060657,0.432939343,4443.018,3,2
37,1,37,2620.927,1,0.524592439,0.475407561,2620.927,3,3
38,1,38,1725.903,1,0.558839641,0.441160359,1725.903,7,6
39,1,39,3225.23,1,0.578988054,0.421011946,3225.23,5,6
40,1,40,1686.53,0,0.657603346,0.342396654,1686.53,7,6
41,1,41,2010.532,1,0.526752872,0.473247128,2010.532,0,2
42,1,42,2244.929,0,0.702232672,0.297767328,2244.929,2,0
43,1,43,2092.94,0,0.652496014,0.347503986,2094.94,3,2
44,1,44,1361.319,1,0.48274665,0.51725335,1361.319,5,6
45,1,45,1596.589,1,0.455204649,0.544795351,1596.589,2,0
46,1,46,2850.121,0,0.698864535,0.301135465,2850.121,5,3
47,1,47,1380.897,1,0.487219698,0.512780302,1380.897,3,3
48,1,48,1391.672,1,0.452632391,0.547367609,1391.672,6,7
49,1,49,2101.903,0,0.651122973,0.348877027,2101.903,2,0
50,1,50,1582.34,1,0.559501432,0.440498568,1585.34,6,7
51,1,51,2320.312,0,0.720040627,0.279959373,2320.312,2,0
52,1,52,2184.782,0,0.581910155,0.418089845,2184.782,2,0
53,1,53,2602.684,0,0.615633567,0.384366433,2602.684,7,6
54,1,54,2890.742,1,0.530453061,0.469546939,2890.742,3,3
