,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,0,4261.735,6,7,0.6034478694008415,0.39655213059915856
2,1,2,1,3754.4640000000004,0,0,0.4908931338839853,0.5091068661160147
4,1,4,0,2199.342,0,0,0.7022321660287879,0.2977678339712121
6,1,6,0,6606.698,3,3,0.6028312366429327,0.39716876335706736
8,1,8,1,5213.48,0,0,0.4751950711734738,0.5248049288265263
10,1,10,0,2007.957,0,0,0.6383966597733691,0.3616033402266309
12,1,12,0,1978.076,0,2,0.6052353954112017,0.3947646045887982
14,1,14,1,3907.2459999999996,6,7,0.4797712817316305,0.5202287182683695
16,1,16,0,1823.3770000000002,2,3,0.6294894790196899,0.3705105209803101
18,1,18,0,4920.474,5,6,0.6949588563954154,0.30504114360458456
20,1,20,0,1705.8110000000001,0,0,0.6364362790345135,0.3635637209654865
22,1,22,0,2474.714,3,3,0.6429709458681474,0.3570290541318526
24,1,24,0,3790.48,0,0,0.5654945644879882,0.4345054355120118
26,1,26,1,3822.2509999999997,0,0,0.4686669473587951,0.5313330526412049
28,1,28,1,2252.245,7,6,0.5196460762585483,0.4803539237414518
30,1,30,1,4155.502,7,6,0.6705228587104467,0.3294771412895533
32,1,32,0,5814.5509999999995,6,7,0.7634743553981836,0.23652564460181635
34,1,34,0,1743.991,3,3,0.6570660429282633,0.3429339570717367
36,1,36,1,3381.75,3,2,0.627425296766271,0.37257470323372893
38,1,38,1,3602.313,7,6,0.4709567445464754,0.5290432554535247
40,1,40,1,7964.300999999998,7,6,0.5398043085573152,0.4601956914426848
42,1,42,0,2122.334,2,0,0.6994311948700396,0.3005688051299605
44,1,44,0,2201.475,5,6,0.5858134047124292,0.4141865952875709
46,1,46,0,2017.4289999999999,5,3,0.6716050142889628,0.3283949857110373
48,1,48,0,2528.386,6,7,0.7170700283649285,0.2829299716350715
50,1,50,0,1513.221,6,7,0.6383258071723579,0.3616741928276421
52,1,52,0,3815.203,2,0,0.5632366387780849,0.43676336122191495
54,1,54,0,3013.624000000001,3,3,0.474340504591165,0.525659495408835
56,1,56,0,1818.684,2,3,0.665297155475087,0.3347028445249129
58,1,58,0,3156.8070000000002,5,6,0.7645606997868291,0.2354393002131709
60,1,60,1,4156.099,3,3,0.3914831153981196,0.6085168846018805
62,1,62,0,2362.993,5,6,0.4428653864664321,0.5571346135335679
64,1,64,1,1720.385,6,5,0.6239863885415416,0.3760136114584584
66,1,66,1,2498.348,6,5,0.5311127455792911,0.4688872544207089
68,1,68,1,2765.97,0,2,0.5295770727917216,0.4704229272082784
70,1,70,0,2079.715,0,2,0.6038454128826216,0.3961545871173784
72,1,72,0,2426.928,4,6,0.7610147478623182,0.2389852521376819
74,1,74,0,1723.836,3,5,0.4641845726719753,0.5358154273280248
76,1,76,0,1990.443,0,2,0.6325486375464865,0.3674513624535135
78,1,78,0,1573.53,0,0,0.4842685015865215,0.5157314984134785
80,1,80,0,2773.406,0,2,0.5440180686517571,0.455981931348243
82,1,82,0,1541.2910000000006,3,5,0.6587276510405887,0.3412723489594113
84,1,84,0,1719.1229999999994,5,6,0.6666904744899174,0.33330952551008264
86,1,86,1,4941.353,3,3,0.5957882385654293,0.40421176143457066
88,1,88,0,3148.962,3,5,0.5279251463056979,0.4720748536943021
90,1,90,0,1528.68,3,2,0.5961183996530414,0.4038816003469587
92,1,92,0,1628.017,4,3,0.5511809471862034,0.44881905281379664
94,1,94,0,3316.3390000000004,5,6,0.6198336487429924,0.3801663512570076
96,1,96,0,2266.764,2,0,0.6581142356650295,0.3418857643349705
98,1,98,1,2265.431,6,5,0.6962492987388147,0.3037507012611853
100,1,100,0,2726.3920000000007,0,0,0.7040489661740578,0.2959510338259422
102,1,102,1,1844.3139999999999,2,0,0.6018051757642746,0.3981948242357253
104,1,104,0,3192.227000000001,0,0,0.7310788549829075,0.2689211450170925
106,1,106,1,2349.446,4,3,0.6763173309823053,0.3236826690176948
108,1,108,0,2993.885,0,0,0.7570000183585152,0.2429999816414849
110,1,110,0,2000.771,0,2,0.6765369909173401,0.32346300908266
112,1,112,1,2302.897,7,6,0.6654586503761131,0.334541349623887
114,1,114,0,5436.005,3,2,0.6821641415620777,0.3178358584379222
116,1,116,0,1991.723,6,7,0.6303327597922751,0.36966724020772496
118,1,118,1,4202.816,6,7,0.6602209770640178,0.33977902293598217
0,2,0,0,4393.264,6,7,0.5580203493868201,0.44197965061318
2,2,2,1,2271.286,0,0,0.5379877410937295,0.4620122589062705
4,2,4,0,2308.854,0,0,0.7069919408373497,0.2930080591626502
6,2,6,0,4220.918,3,3,0.6387240471997799,0.3612759528002201
8,2,8,1,10213.207,0,0,0.6533304640082296,0.3466695359917704
10,2,10,0,5697.236,0,0,0.5730036906767947,0.4269963093232053
12,2,12,0,2202.626,0,2,0.6475322661223339,0.3524677338776661
14,2,14,0,5659.319,6,7,0.6100651383977613,0.3899348616022387
16,2,16,0,4957.49,2,3,0.6904557991171384,0.3095442008828616
18,2,18,0,3120.0029999999997,5,6,0.7450354788256129,0.2549645211743871
20,2,20,1,4288.92,0,0,0.5205292322606943,0.4794707677393058
22,2,22,0,12993.588,3,3,0.5455496640783035,0.4544503359216964
24,2,24,0,5931.459,0,0,0.5695511179382147,0.4304488820617853
26,2,26,1,3602.7690000000002,0,0,0.4242008605464133,0.5757991394535867
