,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,0,4261.735,23,2,0.603447869,0.39655213100000003
2,1,2,1,3754.4640000000004,83,89,0.490893134,0.509106866
4,1,4,0,2199.342,91,83,0.7022321659999999,0.297767834
6,1,6,0,6606.698,55,53,0.6028312370000001,0.397168763
8,1,8,1,5213.48,83,85,0.475195071,0.524804929
10,1,10,0,2007.957,87,83,0.63839666,0.36160334
12,1,12,0,1978.076,83,77,0.605235395,0.394764605
14,1,14,1,3907.2459999999996,23,9,0.479771282,0.5202287179999999
16,1,16,0,1823.3770000000002,69,53,0.629489479,0.37051052100000004
18,1,18,0,4920.474,32,23,0.694958856,0.305041144
20,1,20,0,1705.8110000000001,83,91,0.636436279,0.363563721
22,1,22,0,2474.714,56,53,0.642970946,0.357029054
24,1,24,0,3790.48,89,83,0.565494564,0.434505436
26,1,26,1,3822.2509999999997,83,87,0.46866694700000006,0.531333053
28,1,28,1,2252.245,0,23,0.519646076,0.480353924
30,1,30,1,4155.502,7,23,0.670522859,0.32947714100000003
32,1,32,0,5814.5509999999995,23,7,0.763474355,0.236525645
34,1,34,0,1743.991,53,56,0.6570660429999999,0.342933957
36,1,36,1,3381.75,53,69,0.627425297,0.37257470299999995
38,1,38,1,3602.313,9,23,0.470956745,0.529043255
40,1,40,1,7964.3009999999995,5,23,0.539804309,0.460195691
42,1,42,0,2122.334,79,83,0.699431195,0.300568805
44,1,44,0,2201.475,28,23,0.585813405,0.414186595
46,1,46,0,2017.4289999999999,37,53,0.6716050140000001,0.328394986
48,1,48,0,2528.386,23,5,0.717070028,0.282929972
50,1,50,0,1513.221,23,14,0.6383258070000001,0.361674193
52,1,52,0,3815.203,75,83,0.563236639,0.436763361
54,1,54,0,3013.6240000000003,59,53,0.474340505,0.525659495
56,1,56,0,1818.684,67,53,0.665297155,0.334702845
58,1,58,0,3156.8070000000002,39,23,0.7645607,0.2354393
60,1,60,1,4156.099,58,53,0.391483115,0.608516885
62,1,62,0,2362.993,44,23,0.442865386,0.557134614
64,1,64,1,1720.385,23,35,0.623986389,0.376013611
66,1,66,1,2498.348,23,39,0.531112746,0.468887254
68,1,68,1,2765.97,83,79,0.529577073,0.47042292700000005
70,1,70,0,2079.715,83,81,0.6038454129999999,0.396154587
72,1,72,0,2426.928,46,23,0.761014748,0.23898525199999998
74,1,74,0,1723.836,53,37,0.464184573,0.5358154270000001
76,1,76,0,1990.443,83,78,0.6325486379999999,0.367451362
78,1,78,0,1573.53,88,83,0.48426850200000005,0.515731498
80,1,80,0,2773.406,83,80,0.5440180689999999,0.455981931
82,1,82,0,1541.2910000000002,53,45,0.658727651,0.341272349
84,1,84,0,1719.1229999999998,30,23,0.666690474,0.333309526
86,1,86,1,4941.353,53,61,0.595788239,0.404211761
88,1,88,0,3148.962,53,43,0.5279251460000001,0.472074854
90,1,90,0,1528.68,53,63,0.5961184,0.4038816
92,1,92,0,1628.017,51,53,0.551180947,0.44881905299999997
94,1,94,0,3316.3390000000004,37,23,0.6198336489999999,0.380166351
96,1,96,0,2266.764,73,83,0.658114236,0.341885764
98,1,98,1,2265.431,23,37,0.6962492990000001,0.303750701
100,1,100,0,2726.3920000000003,84,83,0.7040489659999999,0.295951034
102,1,102,1,1844.3139999999999,82,83,0.601805176,0.398194824
104,1,104,0,3192.2270000000003,93,83,0.731078855,0.268921145
106,1,106,1,2349.446,48,53,0.6763173309999999,0.323682669
108,1,108,0,2993.885,83,90,0.7570000179999999,0.242999982
110,1,110,0,2000.771,83,73,0.676536991,0.32346300899999997
112,1,112,1,2302.897,11,23,0.66545865,0.33454135
114,1,114,0,5436.005,53,66,0.6821641420000001,0.317835858
116,1,116,0,1991.723,23,11,0.63033276,0.36966724
118,1,118,1,4202.816,23,21,0.660220977,0.33977902299999996
0,2,0,0,4393.264,23,2,0.558020349,0.44197965100000003
2,2,2,1,2271.286,83,89,0.537987741,0.462012259
4,2,4,0,2308.854,91,83,0.706991941,0.293008059
6,2,6,0,4220.918,55,53,0.6387240470000001,0.361275953
8,2,8,1,10213.207,83,85,0.6533304639999999,0.346669536
10,2,10,0,5697.236,87,83,0.573003691,0.42699630899999996
