,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,0,4261.735,63,42,0.603447869,0.39655213100000003
2,1,2,1,3754.4640000000004,123,129,0.490893134,0.509106866
4,1,4,0,2199.342,131,123,0.7022321659999999,0.297767834
6,1,7,1,3642.1459999999997,63,81,0.600782887,0.39921711299999996
8,1,9,1,5511.334,63,72,0.43661877299999996,0.563381227
10,1,11,1,3124.5209999999997,93,90,0.642003102,0.35799689799999995
12,1,13,1,2508.548,123,126,0.58672184,0.41327816
14,1,15,1,3482.062,82,93,0.579058108,0.42094189200000004
16,1,17,0,5111.944,90,93,0.726102438,0.273897562
18,1,19,0,1869.935,117,123,0.618069705,0.381930295
20,1,21,0,3083.54,63,56,0.7362910659999999,0.263708934
22,1,23,0,2272.349,93,82,0.60563236,0.39436764
24,1,25,0,2046.0620000000001,123,116,0.640865469,0.35913453100000003
26,1,27,0,3347.54,63,65,0.651876141,0.348123859
28,1,29,1,2083.424,42,63,0.53931314,0.46068686
30,1,31,0,2550.939,63,40,0.6538031910000001,0.346196809
32,1,33,0,1428.2879999999998,125,123,0.390158258,0.6098417420000001
34,1,35,1,2329.644,56,63,0.5417879179999999,0.458212082
36,1,37,0,2209.993,93,95,0.689048462,0.310951538
38,1,39,0,2506.099,81,63,0.647531272,0.35246872799999995
40,1,42,0,2122.334,119,123,0.699431195,0.300568805
42,1,44,0,2201.475,68,63,0.585813405,0.414186595
44,1,46,0,2017.4289999999999,77,93,0.6716050140000001,0.328394986
46,1,48,0,2528.386,63,45,0.717070028,0.282929972
48,1,50,0,1513.221,63,54,0.6383258070000001,0.361674193
50,1,52,0,3815.203,115,123,0.563236639,0.436763361
52,1,54,0,3013.6240000000003,99,93,0.474340505,0.525659495
54,1,56,0,1818.684,107,93,0.665297155,0.334702845
56,1,58,0,3156.8070000000002,79,63,0.7645607,0.2354393
58,1,60,1,4156.099,98,93,0.391483115,0.608516885
60,1,62,0,2362.993,84,63,0.442865386,0.557134614
62,1,64,1,1720.385,63,75,0.623986389,0.376013611
64,1,66,1,2498.348,63,79,0.531112746,0.468887254
66,1,68,1,2765.97,123,119,0.529577073,0.47042292700000005
68,1,70,0,2079.715,123,121,0.6038454129999999,0.396154587
70,1,72,0,2426.928,86,63,0.761014748,0.23898525199999998
72,1,74,0,1723.836,93,77,0.464184573,0.5358154270000001
74,1,76,0,1990.443,123,118,0.6325486379999999,0.367451362
76,1,78,0,1573.53,128,123,0.48426850200000005,0.515731498
78,1,80,0,2773.406,123,120,0.5440180689999999,0.455981931
80,1,82,0,1541.2910000000002,93,85,0.658727651,0.341272349
82,1,84,0,1719.1229999999998,70,63,0.666690474,0.333309526
84,1,86,1,4941.353,93,101,0.595788239,0.404211761
86,1,88,0,3148.962,93,83,0.5279251460000001,0.472074854
88,1,90,0,1528.68,93,103,0.5961184,0.4038816
90,1,92,0,1628.017,91,93,0.551180947,0.44881905299999997
92,1,94,0,3316.3390000000004,77,63,0.6198336489999999,0.380166351
94,1,96,0,2266.764,113,123,0.658114236,0.341885764
96,1,98,1,2265.431,63,77,0.6962492990000001,0.303750701
98,1,100,0,2726.3920000000003,124,123,0.7040489659999999,0.295951034
100,1,102,1,1844.3139999999999,122,123,0.601805176,0.398194824
102,1,104,0,3192.2270000000003,133,123,0.731078855,0.268921145
104,1,106,1,2349.446,88,93,0.6763173309999999,0.323682669
106,1,108,0,2993.885,123,130,0.7570000179999999,0.242999982
108,1,110,0,2000.771,123,113,0.676536991,0.32346300899999997
110,1,112,1,2302.897,51,63,0.66545865,0.33454135
112,1,114,0,5436.005,93,106,0.6821641420000001,0.317835858
114,1,116,0,1991.723,63,51,0.63033276,0.36966724
116,1,118,1,4202.816,63,61,0.660220977,0.33977902299999996
0,2,0,0,4393.264,63,42,0.558020349,0.44197965100000003
2,2,2,1,2271.286,123,129,0.537987741,0.462012259
4,2,4,0,2308.854,131,123,0.706991941,0.293008059
6,2,6,0,4220.918,95,93,0.6387240470000001,0.361275953
8,2,8,1,10213.207,123,125,0.6533304639999999,0.346669536
10,2,10,0,5697.236,127,123,0.573003691,0.42699630899999996
12,2,12,0,2202.626,123,117,0.647532266,0.352467734
14,2,14,0,5659.319,63,49,0.610065138,0.38993486200000005
16,2,16,0,4957.49,109,93,0.6904557990000001,0.309544201
18,2,18,0,3120.0029999999997,72,63,0.7450354790000001,0.254964521
20,2,20,1,4288.92,123,131,0.520529232,0.479470768
22,2,22,0,12993.588,96,93,0.5455496639999999,0.454450336
24,2,24,0,5931.459,129,123,0.569551118,0.43044888200000003
26,2,26,1,3602.7690000000002,123,127,0.42420086100000004,0.575799139
28,2,28,1,9357.582,40,63,0.496770227,0.5032297729999999
30,2,30,1,13627.4,47,63,0.409603512,0.590396488
32,2,32,0,5640.168000000001,63,47,0.689929008,0.310070992
34,2,34,0,12768.284,93,96,0.5640125770000001,0.435987423
36,2,36,0,8565.537,93,109,0.523764724,0.47623527600000004
38,2,38,1,19471.289,49,63,0.46188293,0.53811707
40,2,40,1,10371.722,45,63,0.50319529,0.49680471
42,2,42,1,10341.341,119,123,0.586722972,0.413277028
44,2,44,0,3024.208,68,63,0.660349065,0.339650935
46,2,46,0,6204.749,77,93,0.702991072,0.297008928
48,2,48,0,4717.593,63,45,0.6789939759999999,0.321006024
50,2,50,0,8381.153,63,54,0.664158114,0.33584188600000003
52,2,52,1,6935.852,115,123,0.519667265,0.480332735
54,2,54,0,11231.186000000002,99,93,0.6000813229999999,0.39991867700000006
56,2,56,0,5129.3679999999995,107,93,0.7210360729999999,0.278963927
