,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,0,4261.735,110,131,0.6034478694008415,0.39655213059915856
2,1,2,1,3754.4640000000004,50,44,0.4908931338839853,0.5091068661160147
4,1,4,0,2199.342,42,50,0.7022321660287879,0.2977678339712121
6,1,7,1,3642.1459999999997,110,92,0.6007828874099216,0.3992171125900784
8,1,9,1,5511.334,110,101,0.4366187726346624,0.5633812273653376
10,1,11,1,3124.5209999999997,80,83,0.6420031018200626,0.35799689817993746
12,1,13,1,2508.548,50,47,0.5867218402810909,0.4132781597189091
14,1,15,1,3482.062,91,80,0.5790581076473047,0.4209418923526953
16,1,17,0,5111.944,83,80,0.7261024376883046,0.2738975623116954
18,1,19,0,1869.935,56,50,0.6180697052533263,0.3819302947466737
20,1,21,0,3083.54,110,117,0.7362910660558721,0.26370893394412803
22,1,23,0,2272.349,80,91,0.6056323604250726,0.3943676395749274
24,1,25,0,2046.0620000000001,50,57,0.6408654693271053,0.3591345306728947
26,1,27,0,3347.54,110,108,0.6518761411954991,0.3481238588045011
28,1,29,1,2083.424,131,110,0.5393131400137664,0.4606868599862336
30,1,31,0,2550.939,110,133,0.6538031910581308,0.3461968089418692
32,1,33,0,1428.2879999999998,48,50,0.3901582579433784,0.6098417420566217
34,1,35,1,2329.644,117,110,0.5417879176903854,0.4582120823096146
36,1,37,0,2209.993,80,78,0.6890484624686143,0.3109515375313857
38,1,39,0,2506.099,92,110,0.6475312718808137,0.3524687281191862
40,1,42,0,2122.334,54,50,0.6994311948700396,0.3005688051299605
42,1,44,0,2201.475,105,110,0.5858134047124292,0.4141865952875709
44,1,46,0,2017.4289999999999,96,80,0.6716050142889628,0.3283949857110373
46,1,48,0,2528.386,110,128,0.7170700283649285,0.2829299716350715
48,1,50,0,1513.221,110,119,0.6383258071723579,0.3616741928276421
50,1,52,0,3815.203,58,50,0.5632366387780849,0.43676336122191495
52,1,54,0,3013.624000000001,74,80,0.474340504591165,0.525659495408835
54,1,56,0,1818.684,66,80,0.665297155475087,0.3347028445249129
56,1,58,0,3156.8070000000002,94,110,0.7645606997868291,0.2354393002131709
58,1,60,1,4156.099,75,80,0.3914831153981196,0.6085168846018805
60,1,62,0,2362.993,89,110,0.4428653864664321,0.5571346135335679
62,1,64,1,1720.385,110,98,0.6239863885415416,0.3760136114584584
64,1,66,1,2498.348,110,94,0.5311127455792911,0.4688872544207089
66,1,68,1,2765.97,50,54,0.5295770727917216,0.4704229272082784
68,1,70,0,2079.715,50,52,0.6038454128826216,0.3961545871173784
70,1,72,0,2426.928,87,110,0.7610147478623182,0.2389852521376819
72,1,74,0,1723.836,80,96,0.4641845726719753,0.5358154273280248
74,1,76,0,1990.443,50,55,0.6325486375464865,0.3674513624535135
76,1,78,0,1573.53,45,50,0.4842685015865215,0.5157314984134785
78,1,80,0,2773.406,50,53,0.5440180686517571,0.455981931348243
80,1,82,0,1541.2910000000006,80,88,0.6587276510405887,0.3412723489594113
82,1,84,0,1719.1229999999994,103,110,0.6666904744899174,0.33330952551008264
84,1,86,1,4941.353,80,72,0.5957882385654293,0.40421176143457066
86,1,88,0,3148.962,80,90,0.5279251463056979,0.4720748536943021
88,1,90,0,1528.68,80,70,0.5961183996530414,0.4038816003469587
90,1,92,0,1628.017,82,80,0.5511809471862034,0.44881905281379664
92,1,94,0,3316.3390000000004,96,110,0.6198336487429924,0.3801663512570076
94,1,96,0,2266.764,60,50,0.6581142356650295,0.3418857643349705
96,1,98,1,2265.431,110,96,0.6962492987388147,0.3037507012611853
98,1,100,0,2726.3920000000007,49,50,0.7040489661740578,0.2959510338259422
100,1,102,1,1844.3139999999999,51,50,0.6018051757642746,0.3981948242357253
102,1,104,0,3192.227000000001,40,50,0.7310788549829075,0.2689211450170925
104,1,106,1,2349.446,85,80,0.6763173309823053,0.3236826690176948
106,1,108,0,2993.885,50,43,0.7570000183585152,0.2429999816414849
108,1,110,0,2000.771,50,60,0.6765369909173401,0.32346300908266
110,1,112,1,2302.897,122,110,0.6654586503761131,0.334541349623887
112,1,114,0,5436.005,80,67,0.6821641415620777,0.3178358584379222
114,1,116,0,1991.723,110,122,0.6303327597922751,0.36966724020772496
116,1,118,1,4202.816,110,112,0.6602209770640178,0.33977902293598217
0,2,0,0,4393.264,110,131,0.5580203493868201,0.44197965061318
2,2,2,1,2271.286,50,44,0.5379877410937295,0.4620122589062705
4,2,4,0,2308.854,42,50,0.7069919408373497,0.2930080591626502
6,2,6,0,4220.918,78,80,0.6387240471997799,0.3612759528002201
8,2,8,1,10213.207,50,48,0.6533304640082296,0.3466695359917704
10,2,10,0,5697.236,46,50,0.5730036906767947,0.4269963093232053
12,2,12,0,2202.626,50,56,0.6475322661223339,0.3524677338776661
