,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,1,1734.2839999999999,110,131,0.6690901920000001,0.330909808
2,1,3,1,2877.579,57,50,0.608408512,0.391591488
4,1,5,0,3636.816,108,110,0.559774264,0.44022573600000003
6,1,7,0,3078.223,110,92,0.565220915,0.434779085
8,1,9,0,3440.738,110,101,0.5583727820000001,0.441627218
10,1,12,1,2626.1679999999997,50,56,0.666352583,0.333647417
12,1,14,1,1671.149,110,124,0.508035244,0.491964756
14,1,16,1,1527.826,64,80,0.473512088,0.526487912
16,1,18,1,2267.665,101,110,0.5532419829999999,0.446758017
18,1,20,0,5571.061,50,42,0.57530587,0.42469413
20,1,22,1,1402.112,77,80,0.435523019,0.564476981
22,1,24,1,2065.604,44,50,0.528334775,0.471665225
24,1,26,1,1613.454,50,46,0.485035116,0.514964884
26,1,28,0,4895.517,133,110,0.698379326,0.301620674
28,1,30,1,2000.6879999999999,126,110,0.5112920870000001,0.488707913
30,1,32,1,2050.4970000000003,110,126,0.5223925779999999,0.477607422
32,1,34,1,1635.473,80,77,0.5222612,0.4777388
34,1,36,0,4443.018,80,64,0.5670606570000001,0.432939343
36,1,38,1,1725.9029999999998,124,110,0.558839641,0.441160359
38,1,40,0,1686.53,128,110,0.657603346,0.34239665399999997
40,1,42,0,2244.929,54,50,0.7022326720000001,0.297767328
42,1,44,1,1361.319,105,110,0.48274665,0.51725335
44,1,46,0,2850.1209999999996,96,80,0.698864535,0.301135465
46,1,48,1,1391.672,110,128,0.452632391,0.547367609
48,1,50,1,1582.34,110,119,0.559501432,0.440498568
50,1,52,0,2184.782,58,50,0.581910155,0.418089845
52,1,54,1,2890.742,74,80,0.530453061,0.469546939
54,1,56,1,1901.984,66,80,0.418559144,0.5814408560000001
56,1,58,1,2545.4179999999997,94,110,0.576064325,0.423935675
58,1,60,1,3330.755,75,80,0.50365603,0.49634397
60,1,62,1,1604.858,89,110,0.518080577,0.48191942299999996
62,1,64,0,4970.6359999999995,110,98,0.61759933,0.38240067
64,1,66,0,3128.098,110,94,0.713743343,0.28625665699999997
66,1,68,1,3673.3520000000003,50,54,0.602562199,0.39743780100000003
68,1,70,0,2224.593,50,52,0.6937024409999999,0.306297559
70,1,72,1,1391.7379999999998,87,110,0.511924103,0.48807589700000004
72,1,74,1,1648.785,80,96,0.611459724,0.388540276
74,1,76,1,2490.532,50,55,0.5047076629999999,0.495292337
76,1,78,1,2293.524,45,50,0.548158774,0.45184122600000004
78,1,80,1,3496.366,50,53,0.38744884,0.61255116
80,1,82,1,1540.3929999999998,80,88,0.366176609,0.6338233910000001
82,1,84,1,2502.521,103,110,0.501892378,0.498107622
84,1,86,1,5352.23,80,72,0.710009833,0.28999016699999997
86,1,88,1,1269.404,80,90,0.560204249,0.439795751
88,1,90,0,2537.132,80,70,0.731071178,0.268928822
