,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,1,1734.2839999999999,6,7,0.6690901920000001,0.330909808
2,1,2,0,3174.566,0,0,0.549371077,0.45062892299999996
4,1,4,1,1806.31,0,0,0.522848984,0.47715101600000004
6,1,6,1,3650.2659999999996,3,3,0.682033597,0.317966403
8,1,8,1,1259.268,0,0,0.508019033,0.49198096700000005
10,1,10,1,5698.026999999999,0,0,0.5820893460000001,0.417910654
12,1,12,1,2626.1679999999997,0,2,0.666352583,0.333647417
14,1,14,1,1671.149,6,7,0.508035244,0.491964756
16,1,16,1,1527.826,2,3,0.473512088,0.526487912
18,1,18,1,2267.665,5,6,0.5532419829999999,0.446758017
20,1,20,0,5571.061,0,0,0.57530587,0.42469413
22,1,22,1,1402.112,3,3,0.435523019,0.564476981
24,1,24,1,2065.604,0,0,0.528334775,0.471665225
26,1,26,1,1613.454,0,0,0.485035116,0.514964884
28,1,28,0,4895.517,7,6,0.698379326,0.301620674
30,1,30,1,2000.6879999999999,7,6,0.5112920870000001,0.488707913
32,1,32,1,2050.4970000000003,6,7,0.5223925779999999,0.477607422
34,1,34,1,1635.473,3,3,0.5222612,0.4777388
36,1,36,0,4443.018,3,2,0.5670606570000001,0.432939343
38,1,38,1,1725.9029999999998,7,6,0.558839641,0.441160359
40,1,40,0,1686.53,7,6,0.657603346,0.34239665399999997
42,1,42,0,2244.929,2,0,0.7022326720000001,0.297767328
44,1,44,1,1361.319,5,6,0.48274665,0.51725335
46,1,46,0,2850.1209999999996,5,3,0.698864535,0.301135465
48,1,48,1,1391.672,6,7,0.452632391,0.547367609
50,1,50,1,1582.34,6,7,0.559501432,0.440498568
52,1,52,0,2184.782,2,0,0.581910155,0.418089845
54,1,54,1,2890.742,3,3,0.530453061,0.469546939
56,1,56,1,1901.984,2,3,0.418559144,0.5814408560000001
58,1,58,1,2545.4179999999997,5,6,0.576064325,0.423935675
60,1,60,1,3330.755,3,3,0.50365603,0.49634397
62,1,62,1,1604.858,5,6,0.518080577,0.48191942299999996
64,1,64,0,4970.6359999999995,6,5,0.61759933,0.38240067
66,1,66,0,3128.098,6,5,0.713743343,0.28625665699999997
68,1,68,1,3673.3520000000003,0,2,0.602562199,0.39743780100000003
70,1,70,0,2224.593,0,2,0.6937024409999999,0.306297559
72,1,72,1,1391.7379999999998,4,6,0.511924103,0.48807589700000004
74,1,74,1,1648.785,3,5,0.611459724,0.388540276
76,1,76,1,2490.532,0,2,0.5047076629999999,0.495292337
