,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,0.0,0.0,0.0,2009.0,110.0,131.0,0.5683962260000001,0.431603774
2,0.0,2.0,1.0,1700.0,50.0,44.0,0.446808511,0.553191489
4,0.0,4.0,1.0,1889.0,42.0,50.0,0.529736358,0.47026364200000004
6,0.0,6.0,0.0,4259.0,78.0,80.0,0.482253661,0.517746339
8,0.0,8.0,0.0,2548.0,50.0,48.0,0.528497409,0.471502591
10,0.0,10.0,0.0,4604.0,46.0,50.0,0.537755336,0.46224466399999997
12,0.0,12.0,0.0,5716.0,50.0,56.0,0.584665698,0.41533430200000004
14,0.0,14.0,0.0,2447.0,110.0,124.0,0.586021505,0.413978495
16,0.0,16.0,1.0,6932.0,64.0,80.0,0.585313175,0.414686825
18,0.0,18.0,0.0,6854.0,101.0,110.0,0.591491929,0.40850807100000003
20,0.0,20.0,0.0,2913.0,50.0,42.0,0.553135561,0.446864439
22,0.0,22.0,1.0,2110.0,77.0,80.0,0.373274434,0.6267255660000001
24,0.0,24.0,1.0,2456.0,44.0,50.0,0.34350797299999997,0.656492027
26,0.0,26.0,1.0,7010.0,50.0,46.0,0.472887768,0.527112232
28,0.0,28.0,1.0,2697.0,133.0,110.0,0.367032075,0.632967925
30,0.0,30.0,1.0,1916.0,126.0,110.0,0.407250755,0.592749245
32,0.0,32.0,1.0,1441.0,110.0,126.0,0.46179402,0.53820598
34,0.0,34.0,1.0,7377.0,80.0,77.0,0.601685067,0.398314933
36,0.0,36.0,0.0,6398.0,80.0,64.0,0.59428293,0.40571707
38,0.0,38.0,0.0,4737.0,124.0,110.0,0.5494088779999999,0.450591122
40,0.0,40.0,1.0,3454.0,128.0,110.0,0.411978956,0.588021044
42,0.0,42.0,1.0,1728.0,54.0,50.0,0.348913759,0.651086241
44,0.0,44.0,1.0,519.0,105.0,110.0,1.0,0.0
46,0.0,46.0,1.0,3216.0,96.0,80.0,0.49001331600000003,0.509986684
48,0.0,48.0,0.0,1467.0,110.0,128.0,0.573905863,0.42609413700000004
50,0.0,50.0,1.0,1472.0,110.0,119.0,0.385869565,0.614130435
52,0.0,52.0,1.0,5621.0,58.0,50.0,0.476261128,0.523738872
54,0.0,54.0,1.0,3167.0,74.0,80.0,0.434336525,0.565663475
56,0.0,56.0,0.0,2066.0,66.0,80.0,0.571274298,0.42872570200000004
