,gamma,v,tau,s
0,8.64617513986465,13.229957535214742,6.3691222222384685,7.3769832093968315
1,5.831094220685383,4.684976347172855,7.316580054545428,5.519294543183532
2,12.79480614537083,5.624054110591031,6.263773944307151,7.0546757069329855
3,12.250910017507932,13.142478915615001,5.021126651089998,9.142069860736177
4,11.157858870743915,6.643875552191203,5.381577744116712,9.129131555200686
5,7.481315699901015,5.231343681621313,4.729875136293183,8.897995646016286
6,10.55962433374396,8.000682938406865,5.385089397311806,16.138095688474497
7,7.052468458999272,5.5764585149452355,4.683892487076184,9.555966465972755
8,7.260958531446975,5.798600896509612,5.416100624889675,5.441817170659253
9,9.127451891311136,5.8604016006252735,5.43394088557922,7.093272181392813
10,7.190373140710245,5.442674166287174,6.690169405165299,6.691395206274096
11,6.553835309623877,5.272663730231656,5.508749495878148,6.549947583454632
12,5.522957423763934,11.980626795903783,8.930400806070354,8.361502756104716
13,6.407945128731312,7.291691123116276,5.065953819818805,7.070991357413464
14,6.326859933225675,6.711845047579742,6.844274447759929,11.95952844493399
15,5.2115256797273934,4.916359725546294,5.111503011575544,7.171299664328285
16,6.422146208568716,5.141585568068764,5.992223833619455,6.503725150660251
17,8.566559927946619,6.233314035595433,4.902795254419269,5.158532615308802
18,4.958687494050285,4.881914637575641,6.098632416717575,5.9040618458819445
19,5.754054207368412,4.575122282388982,5.460933760713147,6.423044115364491
20,5.692549843261187,5.219223983006965,5.183874400322371,6.866644546013189
21,9.703112875336661,5.706481694842679,6.129673716898713,9.862346441527604
22,7.181836172276379,6.921220019726821,6.401261450777038,8.305227448016295
23,4.883385905327376,7.56339108192889,15.89349281160378,7.143833117671284
24,10.262756164654888,7.125550086578731,5.941295812103657,7.009949511134875
25,8.33994883996156,5.927148079684017,6.403960492367116,5.95612647364618
26,12.10097906100637,4.422170262305054,6.088517541995985,4.758628064112172
27,5.1821985678489275,7.4209079081839,5.718044091328817,5.8563479164426955
28,19.095179480412934,5.734376158367704,5.006245259105382,6.524607539807498
29,5.907314162543158,5.9771672048676585,6.55667786460552,7.022637399648395
30,9.228977688794625,4.702913722013018,5.6704069446373335,5.380186684401718
31,4.695716153812944,4.862210013560588,6.30347387717095,5.7426661939964045
