,gamma,v,tau,s
0,1.7381645093613398,1.1866391362229498,1.2580794077776318,1.0538117934927984
1,2.1737233705628807,1.07338579786707,1.322334140111001,1.0252576893123506
2,1.3344108608118277,1.6953638589959668,1.2554320028878243,1.5608928777591238
3,1.3274285371315924,1.1236089707673893,1.120193838865899,1.1001910154572463
4,1.2863457583921392,1.2955197381185592,1.082179659723347,1.0915888063786756
5,1.16406525076805,1.206952911165259,1.1115414631638603,1.1182457039537705
6,1.384741132875284,1.422556844151408,1.1586029569521712,1.0700109144753889
7,1.2991732305400696,1.1375518209516,1.296578997635334,1.1443213891519228
8,1.2443902598908725,1.1302778482795597,1.0911827434617882,1.0317460173888207
9,1.7088745906045142,1.4901355624353658,1.7322446565545404,1.055452288997948
10,1.5065143342446434,1.4944026025770285,1.2321206124428858,1.1033321026783005
11,1.4356386867523325,1.3905089088622051,1.0713992030904143,1.4918509159266455
12,1.1310300825624213,1.333850187339836,1.3108279285253315,1.971606506313267
13,1.4419777783231316,1.1982889222222135,1.122589331062049,1.0266135831835608
14,1.2607371440658972,1.33553023552749,1.7489977185503327,1.1388678686943015
15,1.5478202225761446,1.101905147122858,1.2499916851040858,1.0956043043474284
16,1.4747437374346841,1.0729791922086016,1.1036206514073716,1.0345610620468342
17,1.288349866951053,1.2026056403339065,1.0585002031129447,1.1093796085398338
18,1.4062645783691685,1.1206838439973066,1.4805519813982408,1.0570567490153273
19,1.4224161395374393,1.103105898704497,1.1445128924359451,1.0283609803167768
20,1.392582131297048,1.1901091409150706,1.1204575053542718,1.0619488622077098
21,1.4487343739165373,1.2236823906695025,1.0678342024706635,1.0244247615225228
22,1.3727830552492926,1.4654151651415073,1.059799675795159,1.1660796378338008
23,1.7323249824509535,1.1501428919053462,1.3441813477750766,1.0358997021218677
24,1.245253055084828,1.1390874242605051,1.187028445897652,1.1089313655057307
25,1.5185585744839174,1.0921481518047353,1.2130016728013673,1.0565224610767456
26,1.264293187924904,1.6238559586586228,1.1766223818978587,1.6838938478187226
27,1.8323315970795828,1.384954920160559,1.131628157719427,1.1607035278767004
28,1.19530943105582,1.151633852786832,1.107631556626161,1.175124506287085
29,1.2922136288743191,1.0540039518216735,1.1483448946265717,1.0917533105926638
30,1.3626081266444101,1.1996531800437873,1.2305330529615732,1.1580287490380519
31,1.5477200984548805,1.0573360717642815,1.1440878277382338,1.026659402662644
