,gamma,v,tau,s
0,1.1739493667714507,1.0233302011046965,1.2805614029721428,1.1479119184867248
1,1.8985133984451061,2.292833552471902,1.1387375637222192,1.831875401908671
2,1.0903442797025706,1.2651483093789566,1.630726542551365,1.3069319256213905
3,1.1789040410259997,1.0976065618196131,2.1071350430141487,1.0676563362353606
4,1.2124571283780445,1.2561467518308425,1.8325011997334677,1.1818182136703959
5,1.300629985416465,1.7046193620842485,1.6906773201310468,1.149749060773726
6,1.4983390015002471,1.191384207089232,1.4775086702346543,1.051338584296824
7,1.214501572390933,1.5959952499941115,1.9160482690195506,1.1892719422537439
8,1.236163047277808,1.5604091643788853,1.4983942672525212,1.3908988719848812
9,1.1827212678932328,1.6127929142178261,1.9600558803780244,1.1911020225112818
10,1.2507863586117125,1.3060433727978582,1.5511661449790017,1.1700880080637464
11,1.632055341898869,1.6160056957687696,1.3977611066217863,1.7596649321285474
12,2.0350486552154137,1.1266783890398486,1.1204727571853121,1.0694857409669214
13,1.4648652551891423,1.4195235222212192,2.3801230193822303,1.5112910673596331
14,1.396693531433405,1.2181086842792832,1.309326238832186,1.0614995857292953
15,1.9641926417522808,1.9029617767004299,1.8740735863556037,1.2884105510280397
16,2.2370891165019553,1.918722205409347,1.792011226523817,1.617297607994445
17,1.5639253007369496,1.6087916399879711,1.9460151315264618,1.819773994354133
18,1.752113293034671,2.013502072131497,1.400236754616334,1.6194891174775625
19,1.3619463305102169,2.0494038915974118,1.2720298640044991,1.2717106248297048
20,1.416530317834975,1.8977460255621286,1.8432188012409918,1.4200451615185692
21,1.936226487292826,1.642818869767069,1.2877044461319385,1.0591232425127095
22,1.445859830859901,1.527093014565547,1.4745898164678424,1.1411347901966211
23,2.001448647409288,1.1611876345185206,1.1219740009823178,1.3611057900983612
24,1.1815963944726606,1.3961462245977725,1.6263790717226203,1.3384495425971585
25,1.2647153544655938,1.3553655372762963,1.671728430016306,1.4040446771092687
26,1.5193482276761554,2.2716117329517638,1.773984380384481,1.9644322376940557
27,1.5476045130930793,1.1854148359393069,1.3257088276030633,1.3398208432822383
28,1.1893966081838954,1.481059515562964,1.4495138746567386,1.5020031434137144
29,1.129723938798831,1.5962799650442616,1.4540764240205892,1.4441468604078744
30,1.2136030080621254,2.481295950634041,1.4306062829716837,1.6943917185642832
31,2.0328689930142434,1.8346018479724002,1.4755279417211822,1.5426118548052428
