,gamma,v,tau,s
0,1.5805431279739566,1.0083415333645362,1.09445241534129,1.1688225593002113
1,1.4854421425860784,1.0724808720840329,1.0864878747582476,1.0506808060945942
2,1.5738947640688237,1.0361623316945823,1.0412941737629957,1.029819694501456
3,1.3858147481380163,1.1382745502804676,1.0885862656408318,1.007212465059864
4,1.249048236472074,1.0586535232016583,1.0390418730521702,1.0577831820316734
5,1.250613178256063,1.106025764681977,1.040473866428649,1.0190180200083372
6,1.5407868219674483,1.1070030737646332,1.1391868287488927,1.0300048609569048
7,1.474119041761894,1.125956098684394,1.0925370312868912,1.0526042376318323
8,1.6732437167310676,1.0639030035187655,1.1781161117029966,1.0218137039105009
9,1.5983302323397501,1.2130073520561504,1.128728878462212,1.020203821755462
10,1.5377798670982255,1.2846408334441495,1.0148359755613343,1.037065082893412
11,1.8450974941029679,1.1402182072987899,1.0831674414963608,1.05440788550538
12,1.304812038404709,1.06097326766293,1.0183659028405143,1.286851340335155
13,1.4332534029360864,1.2663251079996445,1.1368439017587235,1.03105163338347
14,1.4698383532910495,1.0973144431366022,1.0932293849449493,1.0151333613428952
15,1.4604321173869224,1.2920962755702918,1.0770596112210176,1.0492398552571554
16,1.569181923447811,1.0722605322097394,1.0821391656231631,1.010464206712824
17,1.6273703322074429,1.0740616484058885,1.1383374423302852,1.0604867048912243
18,1.9104797297261267,1.1397204936948,1.0307014123399982,1.0518043763459937
19,1.2518968911940216,1.0693770711890411,1.1695332429482865,1.0145561239189083
20,1.9332429450047306,1.264587205874492,1.0423232683427204,1.0611967655502532
21,1.8351520245514563,1.2485520904499317,1.0236118576550297,1.0272625741061854
22,1.2464094325484616,1.0923586106041099,1.0721534471795178,1.0347801039399864
23,1.3574691734675453,1.1805957145865191,1.010405162588989,1.0278995872955459
24,1.6495116359397899,1.132467533964098,1.0703268337455183,1.0188366555633321
25,1.3749894064683212,1.1715106228934906,1.092178762950573,1.0458104777315032
26,1.367506117776712,1.149721516250859,1.6083528940190461,1.03228538309568
27,1.3770399324860898,1.1138879170876255,1.0152448446333364,1.0789782385137543
28,1.3317145524968188,1.106718095109376,1.1103434751435155,1.0279900893254041
29,1.601427580830423,1.1589790413292376,1.0625422482792084,1.1173385775205555
30,1.4103677443625042,1.1589802892915333,1.0856135498554,1.0798453051552948
31,1.4291640995709438,1.1022056601715182,1.027042078351144,1.0229945194111907
