,gamma,v,tau,s
0,124.88939916636825,238.23433464752833,122.91811147787662,513.8773377893914
1,136.72598658909132,173.57636487698363,165.52197645148465,1214.6643073650082
2,161.40219116883029,637.5013070277096,809.5538233815867,453.2107493891908
3,95.30471814827989,892.4826892981325,198.5080830219577,354.98289604593106
4,152.6762124439838,753.9458525340962,534.7443858821805,299.5245740416987
5,163.42132234489878,377.2312807948343,363.08622587088786,983.3098276437009
6,161.4611940051395,698.5381461032174,353.21728571837275,948.3762228534375
7,185.31647989960481,83.24364672940546,578.8046030521621,39.98219548775695
8,136.83515318380515,578.6546037940146,910.3329002890885,1033.183257107446
9,157.801678197398,292.90675640344426,967.7225953003987,336.90182879809987
10,208.9577253142932,221.51537713005584,101.80889405117229,610.941662224078
11,178.53077688421,549.7704443380105,652.9192989444631,891.5816141624679
12,152.90825506609158,521.5977437911389,321.1023244972599,508.4387604556576
13,144.00223956149608,561.2901734067658,1448.3545222293749,697.0063590683094
14,188.16221365406074,1192.7090620419797,939.3095317848625,506.44678088858933
15,127.34059893113974,255.5411309077334,210.75376053710315,661.7544850890641
16,98.41732002838373,144.10378246106643,463.9000097605068,602.195990085477
17,132.0138069379385,425.25646521473794,1118.0787348872764,1120.9698839071857
18,165.47342082154657,385.34317837827007,166.51550414613763,1594.2858747487305
19,164.76456520506937,731.9573863773613,299.10963563300606,683.3447701339087
20,160.67556749718466,801.3170413644864,588.4686979695055,449.70954074210573
21,146.0470193113747,245.937230840361,817.3096413850839,151.33908497958447
22,175.98993265147976,454.4934774211887,580.8846670736094,170.3423696241302
23,139.09377857243769,828.8482030425548,298.6848757728757,177.32599868573786
24,184.61488525795386,170.63638519177672,291.4987728168408,158.86870249353143
25,133.86860838561606,114.54339108111577,247.03464059485876,210.10508663399276
26,150.05207004702126,511.3540056581809,711.2242516531186,665.7037678286979
27,164.5737364778352,295.61613552556884,540.8723910552518,223.35018920107393
