,gamma,v,tau,s
0,1623.6490091115404,737.5536325269318,898.0726468930484,2288.358113652382
1,1537.533772258,1204.2895751014896,1130.7555361623479,1691.9762056409872
2,795.6503817247159,872.1631777793832,1370.3470179051599,3014.3923616360353
3,1126.7711596549748,1020.9389023473773,1219.547361504249,1950.7938523707592
4,1617.6680524764417,1352.344052024722,942.2213040855958,1598.0898725486134
5,1306.461943576208,969.6925042405165,867.5165080033233,1642.2561356823467
6,854.7636705545211,947.2095825649476,1209.4180958282514,1153.6504587775692
7,1184.3762373820357,366.3126187494284,410.18060200461633,338.0117353892714
8,772.8216894653057,1187.214467955392,878.6945976486096,2165.7081498054304
9,1556.5956241296678,825.4806275220859,827.960395895902,1949.2795166994351
10,890.722873539058,902.13059668727,898.5579942304341,1128.4750699610756
11,1223.56918961031,711.9374237868607,698.3941189813868,1819.2290495782372
12,1623.8218797633638,886.8834933761751,1041.8194125293412,1513.9679598378782
13,1408.1419932411732,583.5443020222873,971.9335032440996,2118.6870847058904
14,1428.739713432363,1199.995564382386,1244.9065087979861,1666.7152703673569
15,1643.6380440473524,895.5204553497805,852.7651788652634,2168.559224271476
16,1160.077150458977,1279.834079005054,1173.210001823287,1541.65407852818
17,1244.8673587669152,1057.00247071282,1037.8951786976409,2687.175973410496
18,1695.4917733219136,1352.6406860796374,823.6457786824598,1979.687728289442
19,1469.087080196976,672.8019312805625,1014.1966347221239,1763.167283554988
20,1000.0445444790349,732.5776531076201,600.3420408247329,2576.7585698808716
21,1395.1791068387192,700.2517643693333,1116.8277521558018,1423.458586898286
22,1638.6459280229853,805.4646775258525,690.6257387700144,1524.667747827586
23,1396.2725309060272,1248.9293297763218,1171.9197009047055,1746.0198678027566
24,1259.1662242751022,540.775958468442,873.8434654779635,772.039293596213
25,1943.9370623318173,1241.8339523256593,1230.9827193574336,2355.500272504339
26,1221.1557540559313,1097.072381011333,1065.114097652316,1607.1466831775576
27,1472.0447754372592,921.5218976175454,639.9381281557523,1895.544048258708
