,gamma,v,tau,s
0,129.82606255734697,122.41077309573598,105.41510478233617,102.60638412663445
1,137.2569079699956,19.86211024330901,113.7563508971677,29.455707676701373
2,41.427506227480904,36.203433648027314,37.23670357507502,112.8264265138747
3,28.659320694027745,80.56710288729727,119.2107685979614,35.90365980811276
4,186.264402333056,180.8162223659441,96.44200149140009,359.0662192509371
5,139.98038332687383,191.9813169256709,95.73141251765979,125.49940066304335
6,73.5490375110664,40.872295176309215,40.34471502745505,133.26757901895763
7,84.29830832345505,22.861119396047677,66.18774532322861,25.47093066362702
8,97.32131059917647,31.51253828954733,143.3249688405905,71.54898350744202
9,37.949042299030346,66.12612592558241,69.92391033065681,56.75396067194494
10,60.103055628517204,38.88414720729551,118.01457663923,80.51596904807602
11,243.57652654008004,178.03633623586794,193.0745860102681,96.32198587568027
12,55.56893819492863,86.06380829120114,101.98534645338478,62.25723153048567
13,139.5239918369887,82.32112902120728,74.33643393010391,39.28890185216161
14,23.478139068955407,110.34760442151696,34.64222788085449,151.63213820695864
15,42.548568447122804,91.88297217636442,72.94712568818437,92.42287664764638
16,87.09448557045683,84.60777765293957,191.1054365865477,107.75033926072568
17,122.88944855602396,113.54903095745892,99.6347287757649,107.68678950228787
18,50.00561739386618,36.013034658530046,36.514984400366856,56.345042957315364
19,127.79808553334321,63.14827150456468,33.27495472376273,24.784540177172463
20,66.34588364069181,123.72611204109434,125.2148442816302,170.0728747802053
21,69.44805837539275,46.58024380088462,115.27031386319575,30.097448529259555
22,78.61857802269562,32.868429445605514,81.0519987730203,21.06750616233389
23,267.7901149787872,84.56906188816123,99.7451259544656,32.372157090354456
24,160.1002690714056,88.0052533982131,72.5806401245682,70.15847872695718
25,228.59386983133922,133.0314960889745,135.30319413464645,130.22698254263025
26,29.994769070937878,118.50686103547459,28.85748807280505,176.73431468161766
27,33.184173269027475,32.33085396736829,25.995478399208565,134.7487541220941
