,gamma,v,tau,s
0,1.031246487645057,1.0234598746020893,1.0367449057846565,1.0031571120580427
1,1.0249540602182066,1.0132269990292813,1.003609148015635,1.0056712872636504
2,1.0212411688886394,1.0129520558320855,1.00467266131834,1.0051379218067098
3,1.0243074256782863,1.0123605591895548,1.0144712561547926,1.0092923914157517
4,1.0290464295869972,1.0134866702714034,1.0076611073405721,1.010010945732301
5,1.0287391995123263,1.016366385225208,1.0148386820142303,1.0031887904210075
6,1.0267426957788857,1.0110300535825942,1.0165671269441767,1.0149535683476707
7,1.0291802558939573,1.0230677170602063,1.0053928010477085,1.0377482126659656
8,1.0257372400699665,1.009429437494513,1.0056757074980411,1.0073412977067235
9,1.029815159341412,1.002947049524499,1.0034686470218355,1.0034491017195266
10,1.033167830886641,1.0280298253070639,1.0234461369666565,1.0082817844511638
11,1.0333952401556437,1.013759597282736,1.0091280417146729,1.0048948636041433
12,1.0269250912311865,1.0091640188857172,1.01121650600747,1.0051253942476193
13,1.026130516509632,1.0182728990029934,1.0143856547803165,1.0085931528439465
14,1.0273202585131582,1.0213074606666785,1.0032283512697346,1.0043532781884694
15,1.025913229823852,1.00619686656286,1.012161386538021,1.006645514517985
16,1.0252916070924776,1.0059080419771946,1.0098114778171747,1.0100460876327226
17,1.0210483213675723,1.004109445673287,1.0069395876963128,1.0035979815776161
18,1.027666020999417,1.012696325171689,1.004550775381336,1.0156203466054823
19,1.0309371301918984,1.0155152260492462,1.0157370164950186,1.0160031934937999
20,1.022585389252796,1.0094134543727098,1.003943349176524,1.006651963486342
21,1.028762475539268,1.009073522446578,1.0045518967491145,1.009863887810583
22,1.0264000058714235,1.0039826081672147,1.0176704314615734,1.0104542089304307
23,1.0294319014131357,1.0098902673875054,1.0176640175896992,1.0126327878748698
24,1.0238330902279738,1.011427395925761,1.005250800826118,1.0087933221619267
25,1.031323077208952,1.0176331796734424,1.0015162792324634,1.0168470751352165
26,1.0243698654957996,1.0102639475102941,1.0192841909752364,1.0010724220443354
27,1.029074804956353,1.0164667017205429,1.0142290470866093,1.0089304402855301
