,gamma,v,tau,s
0,1.0003890935008397,1.003134602047492,1.0022204255338072,1.0027022374700874
1,0.9999879966085257,1.0012954772717737,1.0014868157880672,1.0017949075889465
2,1.0025855257816125,1.0001205122396808,1.0020562437704308,1.0013667148830947
3,1.0021668164643645,1.0028408834617575,1.002268000099525,1.0006621686057209
4,1.002556961178477,1.0017068238527749,1.0042322597021052,1.0013943797356497
5,1.002611033801552,1.0050114156650047,1.0039645261763541,0.9997831885299957
6,1.0042642759589093,1.0033080888729262,1.0034019149470736,1.0047664377636716
7,1.0007479898984026,1.003308288603338,1.0044257230330604,1.0018957798109507
8,1.0004077767217419,1.0011297803022323,1.0045445742377086,1.000455584680556
9,1.0016543816048389,1.0010461533790345,1.0042466555774416,1.0022973324896767
10,1.0014306175022953,1.0069148958204641,1.0054073208601544,1.0002515661382736
11,1.000776328962246,1.0021444977824026,1.000485124015679,1.0017214648543613
12,1.0016340878131658,1.0047060144906002,1.003073321163971,1.0006657898261662
13,1.0012070632122936,1.0012804212703457,1.000912773219897,1.000441216717026
14,1.0027968489759445,1.0013124771292428,1.0024330316251426,1.003518150983955
15,1.0021542168128745,1.0008156493763283,1.0016238271552298,1.0005195377591902
16,1.0009207086360536,1.0003698661957738,1.0005231004355777,1.002468973887889
17,1.004341359012478,1.002505139780474,1.0040902290091387,1.0025221449630415
18,1.003948687332336,1.0015345759988432,1.0032734929807967,1.0020639461925507
19,1.001382237311497,1.0035963288353544,1.003607041951388,1.001755849270143
20,1.0052737783416714,1.0074320124798648,1.0066923178954157,1.0013355052413897
21,1.001751840796522,1.003414087375252,1.003130661957298,1.0012025011531223
22,1.0047197227790985,1.0030567136363986,1.0056383976250627,1.001754817751417
23,1.0035574369052451,1.0043134087523602,1.0024281678548947,1.0021757273120098
24,1.0020554218423876,1.0111466842569077,1.0024345335334433,1.003132416284783
25,1.0042128323294424,1.0001355321938132,1.00127052025473,1.0019918299697244
26,1.0016055207457282,1.0040832425631736,1.0036370333662032,1.0012206822928416
27,1.0032550256796977,1.0009477114810943,1.0005110336330814,1.0018356475367856
