,gamma,v,tau,s
0,1.0414824643334128,1.0106685366329229,1.0567030935747312,1.0065794743207543
1,1.037470619387594,1.0924247919221983,1.070732631159795,1.0567114327606406
2,1.0792113435493476,1.0452752979579836,1.047257842438439,1.011097641556641
3,1.0623724482016386,1.0269708397507065,1.0437779284674151,1.0463456978788832
4,1.026530425876587,1.0346176240320022,1.0277837961816578,1.0110454781017266
5,1.062315706730221,1.017086724005373,1.0198900029938562,1.0047976886217092
6,1.0129109007591208,1.0590585745642833,1.039200841083977,1.03007853031374
7,1.0175439706653109,1.1055758443800863,1.0062738131417468,1.1090596991940889
8,1.0086258326029496,1.0818515458552906,1.0778874808865209,1.0111015174869353
9,1.0380913802967613,1.041180776755062,1.0363964593958062,1.011470497736697
10,1.0164797094184408,1.0371940358846092,1.0464089863806294,1.015252203020851
11,1.0054034097125986,1.0719433941493053,1.0483107000223089,1.0278446150749387
12,1.0260850173459868,1.0552475293696502,1.024628516515742,1.0065450560151514
13,1.0121931039440175,1.0075353126679656,1.0056314280736216,1.0552885042824485
14,1.0268810706386757,1.0771031522478092,1.0530627583035004,1.0111522080905937
15,1.0266267078636622,1.0456468611121223,1.0196826322903363,1.0109477376701679
16,1.0134130518052096,1.033669045668797,1.0269611650226416,1.006505239491348
17,1.0388648912294547,1.0584172579332813,1.0150531604800512,1.0104884173705293
18,1.0740257063933727,1.054437291013512,1.0397308385038624,1.020782137037691
19,1.0533657962365541,1.0711953784460917,1.0496750697150934,1.0434440706336519
20,1.0163567470628916,1.0136153359446196,1.0672288366772567,1.0270364295469623
21,1.0219825110675924,1.0201621452765408,1.0340835795362737,1.013449462977409
22,1.0431920367582632,1.0171634714981779,1.065674561549612,1.0561160051855611
23,1.0379675492453524,1.022095385396195,1.0347656190688805,1.0114094183222035
24,1.015817397882437,1.0089405157376283,1.0812644914541163,1.0375842818667753
25,1.037425456719444,1.0942311129422686,1.025453043380965,1.0407493360774338
26,1.0362232486296659,1.0612769595582634,1.0463106338407593,1.025265488422888
27,1.0399774854100696,1.0671971594515022,1.011279670725619,1.0156027750484897
