,gamma,v,tau,s
0,619.9070430698375,394.91738026982443,312.35339613653167,1537.3435429705173
1,1732.0696009931416,758.9776718148847,627.7013027374396,2247.504863837334
2,376.12655847539276,313.0756805862141,212.38091475794744,791.1282480041206
3,1347.237445946137,1931.8296836367476,707.5346921256164,4190.067020952261
4,3654.976932709522,3373.4350755047,3685.116161100496,4562.675020680678
5,1106.6785670689005,1141.8407733564907,1070.9383056364745,2144.7169296427987
6,2255.004613209755,592.6400981544481,248.85424604985718,1027.6277677081514
7,1360.1706973718415,2494.9145032497136,2627.634071575594,3544.358378342502
8,621.8368842477527,206.5703817917519,305.30219864426755,73.5221174490662
9,2870.898613662212,2044.1554512454459,2124.6716873523924,2998.422325813182
10,1730.7047227281316,1398.24757977806,1063.2237398041548,3211.1801278516464
11,2769.17091649146,1024.6584482064177,1366.76054089338,1433.5599854291106
12,1408.6157922285884,4227.779071542169,2385.962474455921,4367.85094888928
13,1119.9179299082764,1043.630363393316,758.0083122743625,1660.4815326427176
14,3106.5875102709224,3610.43117684535,3204.254332218085,4929.699776137684
15,1151.4586896104538,379.6071633289735,408.02464092403375,1073.4474555175993
16,1783.7915336483313,1843.5434779400757,1551.7766172601357,4832.324134079286
17,760.3648948820244,544.2087950940839,501.5185224045977,1841.0683066034394
18,1047.6515645733718,1244.6000597621908,918.5716078441258,2900.4392734692524
19,1251.442571138428,1246.7437564191796,916.9424761433028,2900.911897305459
20,1760.1636702055346,829.764149757257,888.3690840370087,2280.09329268804
21,1843.8565390011595,1342.6288842064328,838.6296222892834,2203.3848096786055
22,2052.4539187736686,906.7005519363609,920.8658316433805,1699.2746368588828
23,2055.456477350429,1083.0648319437305,1019.8762283318376,2272.011232753768
24,2537.723089770562,1974.12288914647,1800.1226883928246,4612.712676219421
25,41.63771140156076,32.50583079079948,31.08488105730812,52.35551540425474
26,3201.830989002301,2132.186408311571,2189.815825677598,3162.0751735516224
27,1384.4816520538022,2066.3804554195517,2134.7457311365574,3946.889826575829
28,720.8802481773381,264.2385661161761,263.6799954842617,513.5441531226944
29,602.696636992068,395.1656709459943,472.78187201144084,852.5149045313877
30,1007.1142053815089,563.4065990059127,336.2395719931745,2937.324134892791
31,307.57946396334717,616.3370806524025,449.55204350859987,1916.5256901760122
