,gamma,v,tau,s
0,4002.802445247556,3060.4254852562262,3085.349735631959,3832.254023579136
1,2240.7947658459007,1723.8689267017514,2312.62001455274,4347.9872504686
2,827.9640025216262,739.2769941607822,565.8570761741416,2473.778816521897
3,597.4869323026205,1325.077639361663,270.10636929772164,3567.4554424089374
4,2328.9335606431373,2399.244353527764,3109.0020065706262,3492.4129029853398
5,1357.7377468719405,1703.039361381629,1843.2135677647605,3239.9484636878087
6,2138.571544899596,1219.2957048446976,1066.7915311367758,2301.2940887356817
7,479.06145115741083,550.6790916714863,565.2407803810875,507.26912518369727
8,405.74843849373514,61.93521275754625,735.5075251977596,14.156487107022466
9,1941.0274240486103,2046.3759678104777,2489.909438458517,3125.0152336125307
10,583.5191398217944,250.23260279595686,260.4373445508137,352.9216460024121
11,1592.8817487928488,1477.6003819713403,1865.59534859377,2224.0614159750808
12,4.901481003680115,30.112899968120683,10.372869802842267,5.299717225943
13,2177.48084460837,1339.58869164631,1326.0569876274144,2382.7554065879367
14,1977.040036285189,1780.7112774807927,2161.71027956102,3612.483382307038
15,1264.8489076410783,878.7006134047915,895.9187256228865,2643.7061265312714
16,1665.9592786236542,1086.108671810647,1291.624395787588,5991.041969239094
17,2418.570224642654,2465.433209700872,2930.2569577221757,4233.037137765662
18,2234.924877289892,1282.7333055985482,1405.6948036784015,2463.8982957691733
19,2018.079464764274,959.702942678474,1167.9665856519325,2902.8543359714954
20,3062.819958747534,2361.272357667475,2819.1763142315963,4104.998570930889
21,2068.9135064832,1169.5911625923152,1447.685488494446,2470.7509798825595
22,2008.1994570931881,1083.516475385912,1143.082381747904,2057.361004973423
23,1946.7400329738866,1334.3269856950385,1359.0838098907752,2157.485590125097
24,2298.933708094688,1567.324669047237,1784.2838230007922,4410.513025075889
25,2143.334116939108,1844.3603745000112,2175.0037826542075,3216.4520361205036
26,3129.475160408538,2467.2098405373117,2710.5019761421004,3327.22091448194
27,2804.454080858461,1993.4410189331966,1675.892781914917,2995.486346667461
28,314.576670201761,346.9417608597252,264.1710692828294,919.0103233609748
29,1503.1107021837195,1018.89818480376,859.8653860313838,2010.9808714635237
30,2116.405876580298,1429.3861101635393,1627.8795194583033,2632.6531056284825
31,2701.2253616697676,1957.3320694838626,2014.4673656749262,3343.6310654717677
