,gamma,v,tau,s
0,3501.898000463141,3620.7373612371484,3966.976018795345,5895.31023986186
1,116.31130237938756,422.39078666687453,30.066551684463136,375.4431725603051
2,3641.261327794702,2872.356213734129,2921.98119417341,4458.821075344174
3,1436.6530493838684,1179.2097090016425,1030.4624640476786,4344.749143898452
4,2847.570332471079,2316.8942345873566,2842.5396279520214,4011.9766769663547
5,1288.6661484898248,915.4644173056523,1029.7740638864761,1432.5236254670442
6,961.5728005421963,390.57792365735236,602.1990496934652,1011.9514667907932
7,2200.2756933841843,2513.0282500345897,1363.4823516754595,4557.238706326323
8,2844.756927090773,2115.6951613241117,2940.28235406484,1395.2081589951538
9,754.4999056104929,994.9221515888826,917.6030452920397,2543.4605959652304
10,527.1975644840285,1551.874978766015,365.1368573624258,3285.6295144610117
11,1184.0622954851412,1815.5133286707464,1933.5034604943676,1776.0427681623648
12,7.121302706746741,6.338326608073741,21.334928446543618,6.79372900684293
13,4041.160690281072,2698.4619626491035,2819.5903591410247,4251.497877041272
14,2445.525126561429,1782.4861274159282,2133.7221395341357,3218.778323342242
15,87.16115648545315,1018.0859441405411,963.0647652181174,1033.1148931878718
16,2047.8817115714567,1444.2658959923099,1604.3399535483181,3499.382208734699
17,1112.1216297130609,734.7652093243423,803.0791165781991,1359.8589416908426
18,3489.042946996963,925.5180484243573,745.8225804519063,1842.4578560326024
19,1524.998446432415,1966.164170793659,1866.2369432278706,4149.390606771547
20,3368.9575998262635,2181.0874251174937,2630.478087042592,3853.989632630373
21,1628.8889849040283,1738.3422730064863,987.5902981759905,3249.8178386287714
22,891.4428768841952,903.1550338928622,369.3261209902945,1348.9795351711684
23,1358.8628110209715,1024.4729415322802,927.8617820717808,3312.510099569326
24,2831.666753700982,2641.0118420993817,2739.471792917353,4987.356910861004
25,1858.657901967474,992.8182731522876,1094.5172051485433,2048.8124076757204
26,2484.412669603536,1072.7904833611813,1086.2035058831889,1402.7973871896465
27,34.54360530458148,34.41851930050654,42.38689626575997,25.660161916232628
28,482.1984174948467,286.4876651829773,296.3926101439939,616.8677307354942
29,2047.6698609058162,689.9793029270961,584.5864301752846,1129.4079900821482
30,836.9397107404874,363.9852175508595,300.0032382075178,934.7974429074503
31,1662.138926235904,1764.224398554155,1514.6385954873122,3513.9357840142447
