,gamma,v,tau,s,part
0,1.0044853124160575,1.0092792146494614,1.011998109027989,1.0012084084643909,0
1,1.0017191983796208,1.0008063709490953,1.0009979701246252,1.0019439653523647,1
2,1.0073937673871451,1.0125371271067474,1.013964293864052,1.001731709452331,2
3,1.000362346267995,0.9999035212475647,1.0054521642789938,1.0007975204079478,3
4,1.000085458458416,1.0004590300111806,1.0016473564134059,1.0001455624077482,4
5,1.001929507528998,1.0008479257557734,1.0012315521736985,0.9999297533714696,5
6,1.001419319523841,1.0008578088162852,1.011786624864703,1.0027245043574924,6
7,1.000010170122385,1.000621302489912,1.0003170276151132,1.000515761768994,7
8,1.007762180443013,1.015197610774222,1.0043741519464264,1.0146835698474175,8
9,1.0010045688396256,1.000398900292914,1.000497432653191,1.0002333740162939,9
10,1.000526714736039,1.0003511491475072,1.0011601814959428,1.000362343044529,10
11,1.0006075779423562,1.0009807080833855,1.0006076969793192,1.0010306234624642,11
12,1.000048925482016,0.9999777685286203,1.0002015406848106,1.0003357177739056,12
13,1.001013431384953,1.0024540319062507,1.0069212072159346,1.0009335905657828,13
14,1.0026061205286037,1.0000743404728407,1.0011252001292275,1.000160793429804,14
15,1.0016441807352325,1.0065404615459528,1.0034535106276654,1.0002780102192357,15
16,1.0009870091082231,1.0001147150642138,1.0013491064746485,1.0006620370449386,16
17,1.0036297676515935,1.0054293499051465,1.0052389317703028,1.002632223505476,17
18,1.0032572345378754,1.0010399639412102,1.0017275920253348,1.0004465150752995,18
19,1.0006177647343126,1.0016253886719262,1.0030805993637644,1.0005113584450023,19
20,1.0028662410307263,1.0006136941783064,1.0010640209514532,1.0006064838448359,20
21,1.0019481181702459,1.0053344638652886,1.0018521433086718,1.0010747502347956,21
22,0.9999435350210641,1.0013677915152355,1.0039955956892432,0.9999650566387037,22
23,1.0019128749084845,1.0009309663663966,1.0030579547475955,0.9999171429950043,23
24,1.0017558100331527,1.0007519537730498,1.0014858838521115,1.0000415195251475,24
25,1.030054848816539,1.0597898224642937,1.0946643782076553,1.039195742956089,25
26,1.0006021193434298,1.0000550859069137,1.000136678977224,1.0005076532913089,26
27,1.0032786385890142,1.0011358564050716,1.0007505722511805,1.000171772550495,27
28,1.007055002028055,1.0071597217389228,1.0038513790185035,1.0014645294765556,28
29,1.0031584389244081,1.0038335831988112,1.0012408975635072,1.0002063241872108,29
30,1.0001904959050587,1.008210835142663,1.0099458662887855,0.9996803584883258,30
31,1.0133308030185344,1.0017639784215493,1.0013233419263023,1.0008209772622083,31
