,gamma,v,tau,s,part
0,1.0000539598388494,1.001609685679154,0.9997053878069793,0.9998682532616249,0
1,1.0042237738604505,1.0375816379198273,1.0786272780510036,1.0288080258931174,1
2,1.0010616812113606,1.0006317372304379,1.0009751335933623,0.9999433528585825,2
3,1.0014728251765823,1.0009737644556667,1.001417472389176,1.0011131385809027,3
4,1.0002448493003262,1.0006185187788326,1.0012535857540292,1.0009321924580026,4
5,1.0004389100756925,1.002818248326934,1.0034242429645108,1.0016146342005492,5
6,1.0036117045747688,1.0061266816105143,1.0016532326320264,1.0015612014572,6
7,1.000721336436015,1.000215520287348,1.0004686637131663,1.0005158210937377,7
8,1.0001275014746485,0.9999944218086059,1.0006679472292197,1.0005792322100098,8
9,1.002158901285691,1.0005287977875617,1.0011230247848573,1.0006408864964433,9
10,1.0124496937573533,1.0099069274547205,1.0169966167829192,1.0016191614898438,10
11,1.0044083820232965,1.000958825359987,1.0010509762980306,1.0002002061622497,11
12,1.5344726183655737,1.585288861530119,1.1207157986371372,1.5851422495078669,12
13,1.0000069040891415,1.0004279464571801,1.0003776176786623,1.0009641035685914,13
14,1.0006676779558552,1.0012157154927468,1.0009301242061417,0.9999565013417377,14
15,1.035894385659356,1.0014453688457905,1.0004849711097907,1.000303786152035,15
16,1.000554280273174,1.0010432220409873,1.0000982651635362,1.0006186941674944,16
17,1.0033042771075942,1.0043917111822287,1.003971960973296,1.0012298539245967,17
18,1.0021010463243236,1.0022100251510098,1.0041209664053015,1.0020530775074838,18
19,1.0013629404930546,1.0002865803595515,1.0038294729331148,1.0003485111732395,19
20,1.0003225184130191,1.000588214235758,0.9999974493288075,0.9999715690478932,20
21,1.001530240292728,1.0012006601181194,1.0036419372617427,1.0003231845727445,21
22,1.0012206058104511,1.0009880808808225,1.0095599551694256,1.0008515617010803,22
23,1.0003840267059254,1.0039327601832664,1.0012421032584269,1.0010086509515828,23
24,1.000216784349236,1.002410371266041,1.000295639282025,1.0004156520286593,24
25,1.0010257855383218,1.002085668395771,1.0007810914753057,1.0002965464955411,25
26,1.0020848672594296,1.0030751886946783,1.0052185590896336,1.00155721023237,26
27,1.107558814216829,1.0160035649174841,1.0120489603045573,1.0297134150378757,27
28,1.00693263222358,1.0073691481319136,1.0019698295147954,1.0011418355384578,28
29,1.0037593570784216,1.0042385022506308,1.0084586953077075,1.001985441537307,29
30,1.00261433374074,1.0111496414634187,1.0136034207987923,1.001616271090025,30
31,1.0035076643141945,1.0029277465930824,1.0023515746761418,1.001766303544362,31
